Account,Account Title,Organization,Budget Activity,Budget Activity Title,AG/BSA,AG/Budget SubActivity (BSA) Title,Line Number,SAG/BLI,SAG/Budget Line Item (BLI) Title,FY 2024 Actuals,FY 2025 Enacted,FY 2025 Supplemental,FY 2025 Total,FY 2026 Disc Request,FY 2026 Reconciliation Request,FY 2026 Total
3410F,"Operation and Maintenance, Space Force",F,04,Administration and Service-Wide Activities,1F,Air Operations,110,041A,Logistics Operations,"29,887","31,313",,"31,313","35,889",,"35,889"
3410F,"Operation and Maintenance, Space Force",F,04,Administration and Service-Wide Activities,50,Servicewide Activities,120,042A,Administration,"130,224","165,556",,"165,556","184,753",,"184,753"
3410F,"Operation and Maintenance, Space Force",F,04,Administration and Service-Wide Activities,50,Servicewide Activities,130,042G,Other Servicewide Activities,"2,427",,,,,,
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,010,011A,Primary Combat Forces,"1,954,479","1,824,396",,"1,824,396","2,010,793",,"2,010,793"
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,020,011G,Mission Support Operations,"205,668","177,080",,"177,080","214,701",,"214,701"
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,030,011M,Depot Purchase Equipment Maintenance,"644,253","597,172",,"597,172","702,575","25,642","728,217"
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,040,011R,"Facilities Sustainment, Restoration & Modernization","148,218","123,394","1,319","124,713","188,802",,"188,802"
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,050,011W,Contractor Logistics Support and System Support,"346,367","601,302",,"601,302","493,324","34,951","528,275"
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1F,Air Operations,060,011Z,Base Support,"499,499","585,943",,"585,943","585,430",,"585,430"
3740F,"Operation and Maintenance, Air Force Reserve",F,01,Operating forces,1G,Combat Related Operations,070,012D,Cyberspace Activities,"1,667","2,331",,"2,331","2,484",,"2,484"
3740F,"Operation and Maintenance, Air Force Reserve",F,04,Administration and service-wide activities,53,Servicewide Activities,080,042A,Administration,"88,840","82,732",,"82,732","98,418",,"98,418"
3740F,"Operation and Maintenance, Air Force Reserve",F,04,Administration and service-wide activities,53,Servicewide Activities,090,042J,Recruiting and Advertising,"9,266","10,855",,"10,855","10,618",,"10,618"
3740F,"Operation and Maintenance, Air Force Reserve",F,04,Administration and service-wide activities,53,Servicewide Activities,100,042K,Military Manpower and Pers Mgmt (ARPC),"15,441","17,188",,"17,188","14,951",,"14,951"
3740F,"Operation and Maintenance, Air Force Reserve",F,04,Administration and service-wide activities,53,Servicewide Activities,110,042L,Other Pers Support (Disability Comp),"5,251","6,304",,"6,304",,,
3740F,"Operation and Maintenance, Air Force Reserve",F,04,Administration and service-wide activities,53,Servicewide Activities,120,042M,Audiovisual,451,527,,527,521,,521
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,010,011F,Aircraft Operations,"2,668,524","2,559,508",,"2,559,508","2,501,226",,"2,501,226"
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,020,011G,Mission Support Operations,"684,852","654,385",,"654,385","627,680",,"627,680"
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,030,011M,Depot Purchase Equipment Maintenance,"927,538","984,771",,"984,771","1,024,171","43,967","1,068,138"
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,040,011R,"Facilities Sustainment, Restoration & Modernization","573,596","433,077","2,209","435,286","549,496","27,073","576,569"
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,050,011W,Contractor Logistics Support and System Support,"1,153,925","1,334,383",,"1,334,383","1,258,081","79,654","1,337,735"
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,01,Air Operations,060,011Z,Base Support,"1,178,108","1,094,310",,"1,094,310","1,110,875",,"1,110,875"
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,1F,Air Operations,070,011V,Cyberspace Sustainment,"21,977","14,291",,"14,291","16,134",,"16,134"
3840F,"Operation and Maintenance, Air National Guard",F,01,Operating Forces,1G,Combat Related Operations,080,012D,Cyberspace Activities,"23,442","53,162",,"53,162","112,205",,"112,205"
3840F,"Operation and Maintenance, Air National Guard",F,04,Administration and Service-wide Activities,53,Servicewide Activities,090,042A,Administration,"59,466","71,454",,"71,454","82,280",,"82,280"
3840F,"Operation and Maintenance, Air National Guard",F,04,Administration and Service-wide Activities,53,Servicewide Activities,100,042J,Recruiting and Advertising,"48,625","49,745",,"49,745","50,451",,"50,451"
0810F,"Environmental Restoration, Air Force",F,03,Department of the Air Force,45,Closed Account Adjustments,070,042G,"Environmental Restoration, Air Force",,"330,524",,"330,524","342,149",,"342,149"
0100D,"Operation and Maintenance, Defense-Wide",TJS,01,Operating forces,1P,Defensewide Activities,010,1PL1,Joint Chiefs of Staff,"454,777","444,943",,"444,943","414,097",,"414,097"
0100D,"Operation and Maintenance, Defense-Wide",TJS,01,Operating forces,1P,Defensewide Activities,020,8PL1,Joint Chiefs of Staff - JTEEP,"682,598","669,508",,"669,508","1,026,502",,"1,026,502"
0100D,"Operation and Maintenance, Defense-Wide",TJS,01,Operating forces,1P,Defensewide Activities,030,8PL2,Joint Chiefs of Staff - CYBER,"8,195","8,991",,"8,991","9,086",,"9,086"
0100D,"Operation and Maintenance, Defense-Wide",OSD,01,Operating forces,4G,Defensewide Activities,040,1GTM,Office of the Secretary of Defense - MISO,"252,091","250,142",,"250,142","209,442","18,518","227,960"
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,050,1PL6,Special Operations Command Combat Development Activities,"2,275,874","1,977,474",,"1,977,474","2,136,165","184,777","2,320,942"
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,060,1PL7,Special Operations Command Maintenance,"1,250,964","1,224,492",,"1,224,492","1,273,409","55,210","1,328,619"
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,070,1PLM,Special Operations Command Management/Operational Headquarters,"195,061","189,886",,"189,886","181,122",,"181,122"
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,080,1PLR,Special Operations Command Theater Forces,"3,402,253","3,357,049",,"3,357,049","3,409,285","58,955","3,468,240"
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,090,1PLS,Special Operations Command Cyberspace Activities,"49,689","50,649",,"50,649","77,241",,"77,241"
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,100,1PLU,Special Operations Command Intelligence,"1,420,388","1,250,583",,"1,250,583","1,187,600",,"1,187,600"
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,01,Operating forces,1P,Defensewide Activities,110,1PLV,Special Operations Command Operational Support,"1,496,239","1,435,667",,"1,435,667","1,579,137","175,803","1,754,940"
0100D,"Operation and Maintenance, Defense-Wide",CYBER,01,Operating forces,1P,Defensewide Activities,120,012D,Cyberspace Operations,"1,219,657","1,314,422",,"1,314,422","1,300,384","248,342","1,548,726"
0100D,"Operation and Maintenance, Defense-Wide",CYBER,01,Operating forces,1P,Defensewide Activities,130,015E,USCYBERCOM Headquarters,"285,718","315,096",,"315,096","314,284","11,613","325,897"
0100D,"Operation and Maintenance, Defense-Wide",DAU,03,Training and recruiting,3E,Defensewide Activities,140,3EV2,Defense Acquisition University,"182,769","182,418",,"182,418","173,265",,"173,265"
0100D,"Operation and Maintenance, Defense-Wide",TJS,03,Training and recruiting,33,"Recruiting, Other Training & Education",150,3PL1,Joint Chiefs of Staff,"116,867","128,622",,"128,622","124,869",,"124,869"
0100D,"Operation and Maintenance, Defense-Wide",SOCOM,03,Training and recruiting,3E,Defensewide Activities,160,3EV8,Special Operations Command/Professional Development Education,"33,816","31,452",,"31,452","28,697",,"28,697"
0100D,"Operation and Maintenance, Defense-Wide",CMP,04,Administration and service-wide activities,4G,Defensewide Activities,170,4GT3,Civil Military Programs,"280,804","280,786",,"280,786","126,637",,"126,637"
0100D,"Operation and Maintenance, Defense-Wide",DCAA,04,Administration and service-wide activities,4G,Defensewide Activities,180,4GDC,Defense Contract Audit Agency - CYBER,"4,012","4,904",,"4,904","3,844",,"3,844"
0100D,"Operation and Maintenance, Defense-Wide",DCAA,04,Administration and service-wide activities,4G,Defensewide Activities,190,4GT6,Defense Contract Audit Agency,"654,427","658,329",,"658,329","632,959",,"632,959"
0100D,"Operation and Maintenance, Defense-Wide",DCMA,04,Administration and service-wide activities,4G,Defensewide Activities,200,4GTO,Defense Contract Management Agency,"1,556,832","1,520,661",,"1,520,661","1,441,456",,"1,441,456"
0100D,"Operation and Maintenance, Defense-Wide",DCMA,04,Administration and service-wide activities,4G,Defensewide Activities,210,4GTP,Defense Contract Management Agency - CYBER,"29,203","42,069",,"42,069","43,434",,"43,434"
0100D,"Operation and Maintenance, Defense-Wide",DCSA,04,Administration and service-wide activities,4G,Defensewide Activities,220,4GTE,Defense Counterintelligence and Security Agency,"990,915","904,532",,"904,532","1,168,366",,"1,168,366"
0100D,"Operation and Maintenance, Defense-Wide",DCSA,04,Administration and service-wide activities,4G,Defensewide Activities,240,4GTG,Defense Counterintelligence and Security Agency - CYBER,"9,835","9,271",,"9,271","11,120",,"11,120"
0100D,"Operation and Maintenance, Defense-Wide",DHRA,04,Administration and service-wide activities,4G,Defensewide Activities,250,4GSE,Defense Human Resources Activity - CYBER,"37,384","39,004",,"39,004","46,621",,"46,621"
0100D,"Operation and Maintenance, Defense-Wide",DHRA,04,Administration and service-wide activities,4G,Defensewide Activities,260,4GT8,Defense Human Resources Activity,"1,060,194","1,042,610",,"1,042,610","932,144",,"932,144"
0100D,"Operation and Maintenance, Defense-Wide",DISA,04,Administration and service-wide activities,4G,Defensewide Activities,290,4GT9,Defense Information Systems Agency,"2,627,907","2,547,778",,"2,547,778","3,042,559",,"3,042,559"
0100D,"Operation and Maintenance, Defense-Wide",DISA,04,Administration and service-wide activities,4G,Defensewide Activities,300,4GU9,Defense Information Systems Agency - CYBER,"515,093","491,348",,"491,348","559,426",,"559,426"
0100D,"Operation and Maintenance, Defense-Wide",DLSA,04,Administration and service-wide activities,4G,Defensewide Activities,310,4GTA,Defense Legal Services Agency,"196,301","190,852",,"190,852","164,770",,"164,770"
0100D,"Operation and Maintenance, Defense-Wide",DLA,04,Administration and service-wide activities,4G,Defensewide Activities,320,4GTB,Defense Logistics Agency,"449,683","397,325",213,"397,538","401,513",,"401,513"
0100D,"Operation and Maintenance, Defense-Wide",DMACT,04,Administration and service-wide activities,4G,Defensewide Activities,330,ES18,Defense Media Activity,"243,974","241,361",,"241,361","226,665",,"226,665"
0100D,"Operation and Maintenance, Defense-Wide",DPAA,04,Administration and service-wide activities,4G,Defensewide Activities,340,4GTC,Defense POW/MIA Office,"185,159","185,857",,"185,857","171,339",,"171,339"
0100D,"Operation and Maintenance, Defense-Wide",DSCA,04,Administration and service-wide activities,4G,Defensewide Activities,350,4GTD,Defense Security Cooperation Agency,"9,875,664","2,714,760",,"2,714,760","2,864,252","850,000","3,714,252"
0100D,"Operation and Maintenance, Defense-Wide",DTSA,04,Administration and service-wide activities,4G,Defensewide Activities,360,4GTH,Defense Technology Security Administration,"41,857","41,909",,"41,909","40,052",,"40,052"
0100D,"Operation and Maintenance, Defense-Wide",DTRA,04,Administration and service-wide activities,4G,Defensewide Activities,370,4GTI,Defense Threat Reduction Agency,"938,404","841,176",,"841,176","708,214",,"708,214"
0100D,"Operation and Maintenance, Defense-Wide",DTRA,04,Administration and service-wide activities,4G,Defensewide Activities,390,4GTL,Defense Threat Reduction Agency - CYBER,"61,428","52,769",,"52,769","71,925",,"71,925"
0100D,"Operation and Maintenance, Defense-Wide",DODEA,04,Administration and service-wide activities,4G,Defensewide Activities,400,4GTJ,Department of Defense Education Activity,"3,535,269","3,543,005",,"3,543,005","3,600,175",,"3,600,175"
0100D,"Operation and Maintenance, Defense-Wide",MDA,04,Administration and service-wide activities,4G,Defensewide Activities,410,011A,Missile Defense Agency,"569,336","598,506",,"598,506","720,365",,"720,365"
0100D,"Operation and Maintenance, Defense-Wide",OLDCC,04,Administration and service-wide activities,4G,Defensewide Activities,420,4GTM,Office of the Local Defense Community Cooperation,"496,798","155,268",,"155,268","159,534",,"159,534"
0100D,"Operation and Maintenance, Defense-Wide",OSD,04,Administration and service-wide activities,4G,Defensewide Activities,460,4GTC,Office of the Secretary of Defense - CYBER,"90,990","101,537",,"101,537","98,034",,"98,034"
0100D,"Operation and Maintenance, Defense-Wide",OSD,04,Administration and service-wide activities,4G,Defensewide Activities,470,4GTN,Office of the Secretary of Defense,"2,692,989","2,841,025",,"2,841,025","2,093,717","430,490","2,524,207"
0100D,"Operation and Maintenance, Defense-Wide",DEFW,04,Administration and service-wide activities,1P,Defensewide Activities,480,NSSF,National Security Systems Fund,,,"913,440","913,440",,,
0100D,"Operation and Maintenance, Defense-Wide",DEFW,04,Administration and service-wide activities,1P,Defensewide Activities,490,REC1,Homeland Defense Initiatives,,,,,,"5,000,000","5,000,000"
0100D,"Operation and Maintenance, Defense-Wide",DEFW,04,Administration and service-wide activities,1P,Defensewide Activities,500,REC2,Munitions and Supply Chain Initiatives,,,,,,"250,000","250,000"
0100D,"Operation and Maintenance, Defense-Wide",DEFW,04,Administration and service-wide activities,1P,Defensewide Activities,510,S142,Section 1421 CENTCOM and EUCOM,,"8,000,000",,"8,000,000",,,
0100D,"Operation and Maintenance, Defense-Wide",DEFW,04,Administration and service-wide activities,1P,Defensewide Activities,520,S806,Section 8066 AFRICOM and SOUTHCOM,,"100,000",,"100,000",,,
0100D,"Operation and Maintenance, Defense-Wide",WHS,04,Administration and service-wide activities,4G,Defensewide Activities,530,4GTQ,Washington Headquarters Services,"415,061","471,736",,"471,736","411,182",,"411,182"
0100D,"Operation and Maintenance, Defense-Wide",,04,,,,999,9999,Classified Programs,"20,301,291","20,459,853",995,"20,460,848","22,750,830","114,740","22,865,570"
0107D,Office of the Inspector General,IG,01,Operation and maintenance,4G,Defensewide Activities,010,4GTV,Office of the Inspector General,"530,219","534,545",,"534,545","494,865",,"494,865"
0107D,Office of the Inspector General,IG,01,Operation and maintenance,4G,Defensewide Activities,020,4GXX,Office of the Inspector General - CYBER,"1,948","1,988",,"1,988","2,030",,"2,030"
0107D,Office of the Inspector General,IG,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,030,4GTV,Office of the Inspector General,"3,400","1,900",,"1,900","4,625",,"4,625"
0107D,Office of the Inspector General,IG,03,Procurement,4G,Defensewide Activities,040,4GTV,Office of the Inspector General,"1,098","1,336",,"1,336","1,079",,"1,079"
0104D,United States Court of Appeals for the Armed Forces,CAAF,04,Administration and associated activities,4G,Defensewide Activities,010,4GTT,"Us Court of Appeals for the Armed Forces, Defense","16,619","21,035",,"21,035","21,243",,"21,243"
0105D,"Drug Interdiction and Counter-Drug Activities, Defense",DEPS,01,Drug interdiction and counter drug activities,10,"Drug Intrdct & Cntr-Drg Act, Def",010,1FU1,Counter-Narcotics Support,,"339,292",,"339,292","398,424",,"398,424"
0105D,"Drug Interdiction and Counter-Drug Activities, Defense",,01,,,,999,9999,Classified Programs,,"314,410",,"314,410","254,460",,"254,460"
0105D,"Drug Interdiction and Counter-Drug Activities, Defense",DEPSDDR,02,Drug demand reduction program,10,"Drug Intrdct & Cntr-Drg Act, Def",020,2FU1,Drug Demand Reduction Program,,"135,567",,"135,567","134,938",,"134,938"
0105D,"Drug Interdiction and Counter-Drug Activities, Defense",DEPS,03,National Guard Counter-Drug Program,10,"Drug Intrdct & Cntr-Drg Act, Def",030,3FU1,National Guard Counter-Drug Program,,"295,000",,"295,000","110,125",,"110,125"
0105D,"Drug Interdiction and Counter-Drug Activities, Defense",DEPS,04,National Guard Counter-Drug Schools,10,"Drug Intrdct & Cntr-Drg Act, Def",040,4FU1,National Guard Counter-Drug Schools,,"26,167",,"26,167","6,354",,"6,354"
0838D,"Support for International Sporting Competitions , Defense",DEFW,01,Operations Support,45,Closed Account Adjustments,100,054,"Support of International Sporting Competitions, Defense",957,,,,,,
0130D,Defense Health Program,DHA,01,Operation and maintenance,14,Defense Health Program,010,1,In-House Care,"10,003,759","10,238,751",,"10,238,751","10,731,135","700,000","11,431,135"
0130D,Defense Health Program,DHA,01,Operation and maintenance,14,Defense Health Program,020,2,Private Sector Care,"19,494,565","20,599,128",,"20,599,128","21,023,765",,"21,023,765"
0130D,Defense Health Program,DHA,01,Operation and maintenance,14,Defense Health Program,030,3,Consolidated Health Support,"1,738,307","1,971,828",,"1,971,828","2,116,278",,"2,116,278"
0130D,Defense Health Program,DHA,01,Operation and maintenance,14,Defense Health Program,040,4,Information Management,"2,329,851","2,454,204",,"2,454,204","2,271,798","100,000","2,371,798"
0130D,Defense Health Program,DHA,01,Operation and maintenance,14,Defense Health Program,050,5,Management Activities,"354,454","341,254",,"341,254","303,898",,"303,898"
0130D,Defense Health Program,DHA,01,Operation and maintenance,14,Defense Health Program,060,6,Education and Training,"355,782","356,611",,"356,611","371,426",,"371,426"
0130D,Defense Health Program,DHA,01,Operation and maintenance,14,Defense Health Program,070,7,Base Operations/Communications,"2,122,228","2,298,159","17,362","2,315,521","2,356,290","1,200,000","3,556,290"
0130D,Defense Health Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,080,0601,R&D Research,"49,158","41,476",,"41,476","41,660",,"41,660"
0130D,Defense Health Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,090,0602,R&D Exploratry Development,"262,771","188,564",,"188,564","183,398",,"183,398"
0130D,Defense Health Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,100,0603,R&D Advanced Development,"2,068,082","1,031,825",,"1,031,825","333,072",,"333,072"
0130D,Defense Health Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,110,0604,R&D Demonstration/Validation,"219,476","195,518",,"195,518","178,983",,"178,983"
0130D,Defense Health Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,120,0605,R&D Engineering Development,"198,588","130,931",,"130,931","117,190",,"117,190"
0130D,Defense Health Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,130,0606,R&D Management and Support,"87,096","88,425",,"88,425","99,338",,"99,338"
0130D,Defense Health Program,DHA,02,"Research, Development, Test, and Evaluation",4G,Defensewide Activities,140,0607,R&D Capabilities Enhancement,"17,700","18,697",,"18,697","19,071",,"19,071"
0130D,Defense Health Program,DHA,03,Procurement,4G,Defensewide Activities,150,7720,PROC Initial Outfitting,"22,344","23,449",,"23,449","24,597",,"24,597"
0130D,Defense Health Program,DHA,03,Procurement,4G,Defensewide Activities,160,7721,PROC Replacement & Modernization,"238,435","243,184",,"243,184","222,445",,"222,445"
0130D,Defense Health Program,DHA,03,Procurement,4G,Defensewide Activities,170,7746,PROC Joint Operational Medicine Information System,"29,537","30,129",,"30,129","30,732",,"30,732"
0130D,Defense Health Program,DHA,03,Procurement,4G,Defensewide Activities,180,7759,PROC Military Health System - Desktop to Datacenter,"74,055","75,536",,"75,536","77,047",,"77,047"
0130D,Defense Health Program,DHA,03,Procurement,4G,Defensewide Activities,190,7787,PROC DoD Healthcare Management System Modernization,"17,510","26,569",,"26,569",,,
0810D,"Environmental Restoration, Defense",DEFW,04,Defense-wide,45,Closed Account Adjustments,080,045G,"Environmental Restoration, Defense",,"9,480",,"9,480","8,885",,"8,885"
0811D,"Environmental Restoration, Formerly Used Defense Sites",DEFW,05,DEFENSE-WIDE,45,Closed Account Adjustments,090,047G,Environmental Restoration Formerly Used Sites,,"236,475",,"236,475","235,156",,"235,156"
0819D,"Overseas Humanitarian, Disaster, and Civic Aid",DSCA,01,Humanitarian assistance,4G,Defensewide Activities,010,4GTD,"Overseas Humanitarian, Disaster and Civic Aid","225,750","115,335",,"115,335","100,793",,"100,793"
0134D,Cooperative Threat Reduction Account,DTRA,01,FSU Threat Reduction,1P,Defensewide Activities,010,1PL3,Cooperative Threat Reduction,"350,999","296,076",,"296,076","282,830",,"282,830"
0111D,Department of Defense Acquisition Workforce Development Fund,DAU,01,Acquisition workforce development,1Q,Acq Workforce Dev Fd,010,012,Acq Workforce Dev Fd,"64,763","56,176",,"56,176","45,346",,"45,346"
0833D,"Emergency Response Fund, Defense",DEFW,01,Increased Situational Awareness,45,Closed Account Adjustments,110,4GTF,Increase Situational Awareness,-224,,,,,,
0833D,"Emergency Response Fund, Defense",DEFW,02,Enhanced Force Protection,45,Closed Account Adjustments,120,4GTF,Enhanced Force Protection,"-7,140",,,,,,
0833D,"Emergency Response Fund, Defense",DEFW,03,Improved Command and Control,45,Closed Account Adjustments,130,4GTF,Improved Command and Control,-140,,,,,,
0833D,"Emergency Response Fund, Defense",DEFW,04,Increased Worldwide Posture,45,Closed Account Adjustments,140,4GTF,Increase Worldwide Posture,"7,292",,,,,,
0833D,"Emergency Response Fund, Defense",DEFW,07,Initial Crisis Response,45,Closed Account Adjustments,150,4GTF,Initial Crisis Response,-798,,,,,,
0833D,"Emergency Response Fund, Defense",DEFW,08,Pentagon Repair/Upgrade,45,Closed Account Adjustments,160,4GTF,Pentagon Repair/Upgrade,-518,,,,,,
0833D,"Emergency Response Fund, Defense",DEFW,09,Other Requirements,45,Closed Account Adjustments,170,4GTF,Other Requirements,"3,052",,,,,,
,,,,,,,,,,,,,,,,
