Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2024 Actuals,FY 2025 Enacted,FY 2025 Supplemental,FY 2025 Total,FY 2026 Disc Request,FY 2026 Reconciliation Request,FY 2026 Total
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,1,0601102A,Defense Research Sciences,Y,"322,341","297,680",,"297,680","237,678",,"237,678"
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,2,0601103A,University Research Initiatives,Y,"72,781","78,166",,"78,166","78,947",,"78,947"
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,3,0601104A,University and Industry Research Centers,Y,"117,872","113,476",,"113,476","69,391",,"69,391"
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,4,0601121A,Cyber Collaborative Research Alliance,Y,"5,459","5,525",,"5,525","5,463",,"5,463"
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,5,0601275A,Electronic Warfare Basic Research,Y,,,,,"88,053",,"88,053"
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,6,0601601A,Artificial Intelligence and Machine Learning Basic Research,Y,"10,206","10,309",,"10,309","7,012",,"7,012"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,7,0602002A,Army Agile Innovation and Development-Applied Research,Y,964,"1,000",,"1,000","9,455",,"9,455"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,8,0602134A,Counter Improvised-Threat Advanced Studies,Y,"6,014","6,163",,"6,163","6,174",,"6,174"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,9,0602135A,Counter Small Unmanned Aerial Systems (C-SUAS) Applied Research,Y,,,,,"12,618",,"12,618"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,10,0602141A,Lethality Technology,Y,"145,375","128,659",,"128,659","97,157",,"97,157"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,11,0602142A,Army Applied Research,Y,"38,072",,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,12,0602143A,Soldier Lethality Technology,Y,"209,084","137,771",,"137,771","72,670",,"72,670"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,13,0602144A,Ground Technology,Y,"266,663","155,829",,"155,829","56,342",,"56,342"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,14,0602145A,Next Generation Combat Vehicle Technology,Y,"248,335","167,233",,"167,233","71,547",,"71,547"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,15,0602146A,Network C3I Technology,Y,"135,543","110,417",,"110,417","56,529",,"56,529"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,16,0602147A,Long Range Precision Fires Technology,Y,"96,154","67,589",,"67,589","25,744",,"25,744"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,17,0602148A,Future Verticle Lift Technology,Y,"104,850","52,350",,"52,350","20,420",,"20,420"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,18,0602150A,Air and Missile Defense Technology,Y,"102,784","49,188",,"49,188","25,992",,"25,992"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,19,0602180A,Artificial Intelligence and Machine Learning Technologies,Y,"23,702","20,319",,"20,319","13,745",,"13,745"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,20,0602181A,All Domain Convergence Applied Research,Y,"13,775","12,269",,"12,269",,,
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,21,0602182A,C3I Applied Research,Y,"31,635","25,839",,"25,839","22,317",,"22,317"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,22,0602183A,Air Platform Applied Research,Y,"53,611","48,854",,"48,854","53,305",,"53,305"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,23,0602184A,Soldier Applied Research,Y,"17,622","14,131",,"14,131","27,597",,"27,597"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,24,0602213A,C3I Applied Cyber,Y,"20,664","28,656",,"28,656","4,716",,"4,716"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,25,0602275A,Electronic Warfare Applied Research,Y,,,,,"45,415",,"45,415"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,26,0602276A,Electronic Warfare Cyber Applied Research,Y,,,,,"17,102",,"17,102"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,27,0602345A,Unmanned Aerial Systems Launched Effects Applied Research,Y,,,,,"18,408",,"18,408"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,28,0602386A,Biotechnology for Materials - Applied Research,Y,"16,060","11,780",,"11,780","8,209",,"8,209"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,30,0602785A,Manpower/Personnel/Training Technology,Y,"19,667","19,795",,"19,795","17,191",,"17,191"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,31,0602787A,Medical Technology,Y,"139,515","68,481",,"68,481","143,293",,"143,293"
2040A,"Research, Development, Test and Evaluation, Army",,02,Applied Research,999,9999999999,Classified Programs,Y,,"35,766",,"35,766","34,599",,"34,599"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,32,0603002A,Medical Advanced Technology,Y,"18,730","8,112",,"8,112","1,860",,"1,860"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,33,0603007A,"Manpower, Personnel and Training Advanced Technology",Y,"15,845","16,716",,"16,716","13,559",,"13,559"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,34,0603025A,Army Agile Innovation and Demonstration,Y,"25,513","14,608",,"14,608","19,679",,"19,679"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,35,0603040A,Artificial Intelligence and Machine Learning Advanced Technologies,Y,"23,909","30,263",,"30,263","20,487",,"20,487"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,36,0603041A,All Domain Convergence Advanced Technology,Y,"26,721","23,722",,"23,722","10,560",,"10,560"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,37,0603042A,C3I Advanced Technology,Y,"18,590","21,889",,"21,889","15,028",,"15,028"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,38,0603043A,Air Platform Advanced Technology,Y,"13,648","17,076",,"17,076","41,266",,"41,266"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,39,0603044A,Soldier Advanced Technology,Y,"1,170","14,094",,"14,094","18,143",,"18,143"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,40,0603116A,Lethality Advanced Technology,Y,"70,529","49,629",,"49,629","13,232",,"13,232"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,41,0603117A,Army Advanced Technology Development,Y,"140,980",,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,42,0603118A,Soldier Lethality Advanced Technology,Y,"125,951","98,032",,"98,032","95,186",,"95,186"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,43,0603119A,Ground Advanced Technology,Y,"276,299","87,775",,"87,775","30,507",,"30,507"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,44,0603134A,Counter Improvised-Threat Simulation,Y,"20,965","21,398",,"21,398","15,692",,"15,692"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,45,0603135A,Counter Small Unmanned Aerial Systems (C-SUAS) Advanced Technology,Y,,,,,"7,773",,"7,773"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,46,0603275A,Electronic Warfare Advanced Technology,Y,,,,,"83,922",,"83,922"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,47,0603276A,Electronic Warfare Cyber Advanced Technology,Y,,,,,"15,254",,"15,254"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,48,0603345A,Unmanned Aerial Systems Launched Effects Advanced Technology Development,Y,,,,,"13,898",,"13,898"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,49,0603386A,Biotechnology for Materials - Advanced Research,Y,"57,686","36,360",,"36,360","24,683",,"24,683"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,50,0603457A,C3I Cyber Advanced Development,Y,"28,275","39,616",,"39,616","3,329",,"3,329"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,51,0603461A,High Performance Computing Modernization Program,Y,"246,739","239,597",,"239,597","241,855",,"241,855"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,52,0603462A,Next Generation Combat Vehicle Advanced Technology,Y,"433,324","254,662",,"254,662","141,301",,"141,301"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,53,0603463A,Network C3I Advanced Technology,Y,"214,351","142,224",,"142,224","78,539",,"78,539"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,54,0603464A,Long Range Precision Fires Advanced Technology,Y,"233,806","164,943",,"164,943","162,236",,"162,236"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,55,0603465A,Future Vertical Lift Advanced Technology,Y,"219,137","175,369",,"175,369","66,686",,"66,686"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,56,0603466A,Air and Missile Defense Advanced Technology,Y,"98,784","61,333",,"61,333","23,330",,"23,330"
2040A,"Research, Development, Test and Evaluation, Army",A,03,Advanced technology development,58,0603920A,Humanitarian Demining,Y,"22,737","23,272",,"23,272","9,349",,"9,349"
2040A,"Research, Development, Test and Evaluation, Army",,03,Advanced technology development,999,9999999999,Classified Programs,Y,,"155,526",,"155,526","72,837",,"72,837"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,60,0603305A,Army Missle Defense Systems Integration,Y,"48,763","20,031",,"20,031","8,141",,"8,141"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,61,0603308A,Army Space Systems Integration,Y,"28,813","29,659",,"29,659","83,080",,"83,080"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,62,0603327A,Air and Missile Defense Systems Engineering,Y,"13,000","30,000",,"30,000",,,
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,63,0603619A,Landmine Warfare and Barrier - Adv Dev,Y,"60,202","60,617",,"60,617","41,516",,"41,516"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,64,0603639A,Tank and Medium Caliber Ammunition,Y,"90,139","102,027",,"102,027","85,472","100,000","185,472"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,65,0603645A,Armored System Modernization - Adv Dev,Y,"54,456","23,235",,"23,235","22,645",,"22,645"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,66,0603747A,Soldier Support and Survivability,Y,"3,420","4,059",,"4,059","4,033",,"4,033"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,67,0603766A,Tactical Electronic Surveillance System - Adv Dev,Y,"72,259","87,765",,"87,765","107,525",,"107,525"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,68,0603774A,Night Vision Systems Advanced Development,Y,"41,941","20,714",,"20,714","5,153",,"5,153"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,69,0603779A,Environmental Quality Technology - Dem/Val,Y,"19,369","23,299",,"23,299","11,343",,"11,343"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,70,0603790A,NATO Research and Development,Y,"3,987","4,184",,"4,184","5,031",,"5,031"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,71,0603801A,Aviation - Adv Dev,Y,"1,452,331","4,943",,"4,943",,,
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,72,0603804A,Logistics and Engineer Equipment - Adv Dev,Y,"22,846","19,995",,"19,995","15,435",,"15,435"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,73,0603807A,Medical Systems - Adv Dev,Y,"7,999",582,,582,"1,000",,"1,000"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,74,0603827A,Soldier Systems - Advanced Development,Y,"41,551","24,284",,"24,284","41,856",,"41,856"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,75,0604017A,Robotics Development,Y,"2,912","13,039",,"13,039","35,082",,"35,082"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,76,0604019A,Expanded Mission Area Missile (EMAM),Y,"109,752","83,516",,"83,516","178,137","99,000","277,137"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,77,0604020A,Cross Functional Team (CFT) Advanced Development & Prototyping,Y,"61,779","40,409",,"40,409",,,
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,78,0604035A,Low Earth Orbit (LEO) Satellite Capability,Y,"37,433","21,935",,"21,935","17,063",,"17,063"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,79,0604036A,Multi-Domain Sensing System (MDSS) Adv Dev,Y,"185,831","188,228",,"188,228","239,813",,"239,813"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,80,0604037A,Tactical Intel Targeting Access Node (TITAN) Adv Dev,Y,"10,626","4,317",,"4,317","3,092",,"3,092"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,81,0604100A,Analysis Of Alternatives,Y,"10,690","11,234",,"11,234","9,865",,"9,865"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,82,0604101A,Small Unmanned Aerial Vehicle (SUAV) (6.4),Y,"4,956","1,800",,"1,800",,,
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,83,0604103A,Electronic Warfare Planning and Management Tool (EWPMT),Y,"2,260","2,004",,"2,004",,,
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,84,0604113A,Future Tactical Unmanned Aircraft System (FTUAS),Y,"67,143","127,870",,"127,870",,,
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,85,0604114A,Lower Tier Air Missile Defense (LTAMD) Sensor,Y,"511,014","127,428",,"127,428","196,448","14,000","210,448"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,86,0604115A,Technology Maturation Initiatives,Y,"244,710","252,000",,"252,000","267,619",,"267,619"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,87,0604117A,Maneuver - Short Range Air Defense (M-SHORAD),Y,"290,256","274,542",,"274,542","238,247","60,120","298,367"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,88,0604119A,Army Advanced Component Development & Prototyping,Y,"204,914",,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,89,0604120A,"Assured Positioning, Navigation and Timing (PNT)",Y,"39,223","24,168",,"24,168","8,686",,"8,686"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,90,0604121A,Synthetic Training Environment Refinement & Prototyping,Y,"115,519","115,140",,"115,140","240,899",,"240,899"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,91,0604134A,"Counter Improvised-Threat Demonstration, Prototype Development, and Testing",Y,"15,826","17,341",,"17,341","5,491",,"5,491"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,92,0604135A,Strategic Mid-Range Fires,Y,"25,342",,,,"231,401",,"231,401"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,93,0604182A,Hypersonics,Y,"201,193",,,,"25,000",,"25,000"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,94,0604386A,Biotechnology for Materials - Dem/Val,Y,,"10,651",,"10,651",,,
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,95,0604403A,Future Interceptor,Y,"3,899","8,058",,"8,058","8,019","144,000","152,019"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,97,0604531A,Counter - Small Unmanned Aircraft Systems Advanced Development,Y,"54,854","79,983",,"79,983","45,281",,"45,281"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,99,0604541A,Unified Network Transport,Y,"47,233","31,837",,"31,837","29,191",,"29,191"
2040A,"Research, Development, Test and Evaluation, Army",A,04,Advanced Component Development and Prototypes,100,0305251A,Cyberspace Operations Forces and Force Support,Y,74,"2,270",,"2,270","5,605",,"5,605"
2040A,"Research, Development, Test and Evaluation, Army",,04,Advanced Component Development and Prototypes,999,9999999999,Classified Programs,Y,"19,200","277,181",,"277,181","203,746",,"203,746"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,101,0604201A,Aircraft Avionics,Y,"21,173","7,171",,"7,171","2,696",,"2,696"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,102,0604270A,Electronic Warfare Development,Y,"12,310","33,247",,"33,247","9,153",,"9,153"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,103,0604601A,Infantry Support Weapons,Y,"80,777","57,686",,"57,686","56,553",,"56,553"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,104,0604604A,Medium Tactical Vehicles,Y,"17,561","3,565",,"3,565","18,503",,"18,503"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,105,0604611A,JAVELIN,Y,"7,541","10,405",,"10,405","9,810",,"9,810"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,106,0604622A,Family of Heavy Tactical Vehicles,Y,"40,175","34,690",,"34,690","47,064",,"47,064"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,107,0604633A,Air Traffic Control,Y,"11,093",982,,982,,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,108,0604641A,Tactical Unmanned Ground Vehicle (TUGV),Y,"136,937","92,540",,"92,540",,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,109,0604642A,Light Tactical Wheeled Vehicles,Y,"3,394","3,000",,"3,000",,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,110,0604645A,Armored Systems Modernization (ASM) - Eng Dev,Y,"95,580","48,097",,"48,097","16,593",,"16,593"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,111,0604710A,Night Vision Systems - Eng Dev,Y,"145,135","139,309",,"139,309","351,274",,"351,274"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,112,0604713A,"Combat Feeding, Clothing, and Equipment",Y,"2,170","3,286",,"3,286","5,654",,"5,654"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,113,0604715A,Non-System Training Devices - Eng Dev,Y,"20,585","28,427",,"28,427","19,063",,"19,063"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,114,0604741A,"Air Defense Command, Control and Intelligence - Eng Dev",Y,"86,990","73,653",,"73,653","13,892",,"13,892"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,115,0604742A,Constructive Simulation Systems Development,Y,"29,854","30,097",,"30,097","7,790",,"7,790"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,116,0604746A,Automatic Test Equipment Development,Y,"13,129","12,927",,"12,927","9,512",,"9,512"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,117,0604760A,Distributive Interactive Simulations (DIS) - Eng Dev,Y,"8,481","8,914",,"8,914","7,724",,"7,724"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,118,0604798A,"Brigade Analysis, Integration and Evaluation",Y,"21,750","26,352",,"26,352","24,318",,"24,318"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,119,0604802A,Weapons and Munitions - Eng Dev,Y,"270,231","251,949",,"251,949","150,344",,"150,344"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,120,0604804A,Logistics and Engineer Equipment - Eng Dev,Y,"58,554","46,829",,"46,829","50,194",,"50,194"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,121,0604805A,"Command, Control, Communications Systems - Eng Dev",Y,"47,965","92,300",,"92,300","63,725",,"63,725"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,122,0604807A,Medical Materiel/Medical Biological Defense Equipment - Eng Dev,Y,"10,984","7,143",,"7,143","6,252",,"6,252"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,123,0604808A,Landmine Warfare/Barrier - Eng Dev,Y,"33,085","54,134",,"54,134","9,862",,"9,862"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,124,0604818A,Army Tactical Command & Control Hardware & Software,Y,"154,317","134,162",,"134,162","430,895","2,430","433,325"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,125,0604820A,Radar Development,Y,"78,363","41,584",,"41,584","53,226","18,000","71,226"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,126,0604822A,General Fund Enterprise Business System (GFEBS),Y,"16,011","1,995",,"1,995",,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,127,0604827A,Soldier Systems - Warrior Dem/Val,Y,"18,892","29,132",,"29,132","4,137",,"4,137"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,128,0604852A,Suite of Survivability Enhancement Systems - EMD,Y,"70,384","77,864",,"77,864","76,903",,"76,903"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,129,0604854A,Artillery Systems - EMD,Y,"45,939","42,479",,"42,479","80,862",,"80,862"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,130,0605013A,Information Technology Development,Y,"96,090","102,704",,"102,704","125,701",,"125,701"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,131,0605018A,Integrated Personnel and Pay System-Army (IPPS-A),Y,"86,914","121,354",,"121,354","164,600",,"164,600"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,132,0605030A,Joint Tactical Network Center (JTNC),Y,"17,981","20,191",,"20,191","20,954",,"20,954"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,133,0605031A,Joint Tactical Network (JTN),Y,"29,221","31,214",,"31,214","41,696",,"41,696"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,134,0605035A,Common Infrared Countermeasures (CIRCM),Y,"10,959","11,691",,"11,691","10,789",,"10,789"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,135,0605036A,Combating Weapons of Mass Destruction (CWMD),Y,"1,012","7,846",,"7,846","13,322",,"13,322"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,136,0605037A,Evidence Collection and Detainee Processing,Y,,,,,"4,619",,"4,619"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,137,0605038A,Nuclear Biological Chemical Reconnaissance Vehicle (NBCRV) Sensor Suite,Y,,"7,886",,"7,886","13,459",,"13,459"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,138,0605041A,Defensive CYBER Tool Development,Y,"13,386","4,176",,"4,176","3,611",,"3,611"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,139,0605042A,Tactical Network Radio Systems (Low-Tier),Y,"4,160","4,288",,"4,288","3,222",,"3,222"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,140,0605047A,Contract Writing System,Y,"12,390","9,276",,"9,276","8,101",,"8,101"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,141,0605049A,Missile Warning System Modernization (MWSM),Y,"19,508",,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,142,0605051A,Aircraft Survivability Development,Y,"23,991","38,225",,"38,225","44,182",,"44,182"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,143,0605052A,Indirect Fire Protection Capability Inc 2 - Block 1,Y,"172,705","140,912",,"140,912","248,659",,"248,659"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,144,0605053A,Ground Robotics,Y,"26,704","28,378",,"28,378","227,038",,"227,038"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,145,0605054A,Emerging Technology Initiatives,Y,"115,356","126,658",,"126,658","57,546","87,000","144,546"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,146,0605144A,Next Generation Load Device - Medium,Y,"36,970","2,931",,"2,931","24,492",,"24,492"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,147,0605148A,Tactical Intel Targeting Access Node (TITAN) EMD,Y,"128,784","149,112",,"149,112","44,273",,"44,273"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,148,0605203A,Army System Development & Demonstration,Y,"81,657",,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,149,0605205A,Small Unmanned Aerial Vehicle (SUAV) (6.5),Y,"20,865","24,474",,"24,474",,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,150,0605206A,CI and HUMINT Equipment Program-Army (CIHEP-A),Y,"2,170","1,296",,"1,296",,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,151,0605216A,Joint Targeting Integrated Command and Coordination Suite (JTIC2S),Y,"8,951","21,415",,"21,415",,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,152,0605224A,Multi-Domain Intelligence,Y,"23,605","18,913",,"18,913","34,844",,"34,844"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,153,0605231A,Precision Strike Missile (PrSM),Y,"262,829","184,046",,"184,046",,"197,184","197,184"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,154,0605232A,Hypersonics EMD,Y,"772,174","469,775",,"469,775","513,027",,"513,027"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,155,0605233A,Accessions Information Environment (AIE),Y,"26,362","32,265",,"32,265","32,710",,"32,710"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,156,0605235A,Strategic Mid-Range Capability,Y,"255,121","182,823",,"182,823","186,304",,"186,304"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,157,0605236A,Integrated Tactical Communications,Y,"18,065","12,224",,"12,224","22,732",,"22,732"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,158,0605241A,Future Long Range Assault Aircraft Development,Y,,"1,253,637",,"1,253,637","1,248,544",,"1,248,544"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,159,0605242A,Theater SIGINT System (TSIGS),Y,,"3,660",,"3,660",,,
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,160,0605244A,Joint Reduced Range Rocket (JR3),Y,,"13,565",,"13,565","28,893",,"28,893"
2040A,"Research, Development, Test and Evaluation, Army",A,05,System development and demonstration,161,0605247A,Spectrum Situational Awareness System (S2AS),Y,,"4,665",,"4,665",,,
