Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
FA853225F0150,2/24/2025,ATAP INC,232463,"THIRD PARTY EQUIPMENT PURCHASING (3PEP) SERVICES REQUIREMENT TO SOURCE, ACQUIRE, AND DELIVER A BROAD RANGE OF SUPPORT EQUIPMENT OF NATIONAL STOCK NUMBERS (NSNS)",,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,9,FIRM FIXED PRICE,,F3QCDK AFLCMC ROZ SPT EQUIP VEH,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2/24/2025,11/24/2025,2/24/2025,CONT_AWD_FA853225F0150_9700_FA851722D0009_9700,2/24/2025,FA8532
FA853225F0253,5/1/2025,ATAP INC,1686546,SOURCING AND ACQUIRING COMMON STOCK EQUIPMENT (SRC),,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,4,FIRM FIXED PRICE,,F3QCDK AFLCMC ROZ SPT EQUIP VEH,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,5/1/2025,4/30/2027,8/13/2025,CONT_AWD_FA853225F0253_9700_FA853221D0004_9700,5/1/2025,FA8532
FA853425F0021,1/6/2025,TLD AMERICA CORPORATION,723830,U-30 TOW TRACTORS,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,F3QCDK AFLCMC ROZ SPT EQUIP VEH,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Air Force,DELIVERY ORDER,1/6/2025,7/7/2025,7/28/2025,CONT_AWD_FA853425F0021_9700_FA853420D0002_9700,1/6/2025,FA8534
N6133125P0079,4/1/2025,DEVAL LIFE CYCLE SUPPORT LLC,145298.06,FRONT AND REAR ADAPTERS,,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAL SURFACE WARFARE CENTER,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336212 TRUCK TRAILER MANUFACTURING,Department of Defense,Department of the Navy,PURCHASE ORDER,4/1/2025,3/20/2026,4/1/2025,CONT_AWD_N6133125P0079_9700_-NONE-_-NONE-,4/1/2025,N61331
N6133125P0126,5/22/2025,DEVAL LIFE CYCLE SUPPORT LLC,205420.48,MHU-191 MUNITIONS TRANSPORTER,N6133125TJK24,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAL SURFACE WARFARE CENTER,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,PURCHASE ORDER,5/22/2025,2/16/2026,5/22/2025,CONT_AWD_N6133125P0126_9700_-NONE-_-NONE-,5/22/2025,N61331
N6833525C0372,5/12/2025,CHOCTAW DEFENSE MANUFACTURING LLC,834750.8,TWENTY (20) MHU-230/M SMALL MUNITIONS TRAILERS,,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,5/12/2025,2/15/2026,5/12/2025,CONT_AWD_N6833525C0372_9700_-NONE-_-NONE-,5/12/2025,N68335
N6833525F0026,11/5/2024,"DIXEQUIP, INC.",447280,CLIN 0002 - PRODUCTION MODIFIED DIXEQUIP,N6833519R0321,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,NAVAIR WARFARE CTR AIRCRAFT DIV,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,DELIVERY ORDER,11/5/2024,1/15/2025,7/13/2025,CONT_AWD_N6833525F0026_9700_N6833520D0005_9700,11/5/2024,N68335
N6833525P0185,4/22/2025,ATAP INC,123675,TRAILER ENGINE TRANSPORTATION,N6833525Q0138,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,5,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,NAVAIR WARFARE CTR AIRCRAFT DIV,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,334515 INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,Department of Defense,Department of the Navy,PURCHASE ORDER,4/11/2025,11/11/2025,4/22/2025,CONT_AWD_N6833525P0185_9700_-NONE-_-NONE-,4/22/2025,N68335
SPE4A525F4974,2/13/2025,THE BOEING COMPANY,155311.96,"8511171363!TRAILER,AIRCRAFT,TR",SPE4A524T714U,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA AVIATION,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2/13/2025,3/1/2027,2/13/2025,CONT_AWD_SPE4A525F4974_9700_SPE4A125G0011_9700,2/13/2025,SPE4A5
SPE4A525F8379,5/7/2025,SIKORSKY AIRCRAFT CORPORATION,402614.2,8511362877!BLADE RACK ASSEMBLY,SPE4A525T9327,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA AVIATION,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,5/7/2025,7/15/2027,5/7/2025,CONT_AWD_SPE4A525F8379_9700_SPE4A122G0005_9700,5/7/2025,SPE4A5
SPE4A525P0434,10/9/2024,EQUIPMENT & SUPPLY INC,4940,"8510946319!RACK ASSEMBLY,TRANS",SPE4A524T6680,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA AVIATION,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,488490 OTHER SUPPORT ACTIVITIES FOR ROAD TRANSPORTATION,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,10/9/2024,11/8/2024,12/15/2024,CONT_AWD_SPE4A525P0434_9700_-NONE-_-NONE-,10/9/2024,SPE4A5
SPE4A625FAQV9,1/8/2025,SIKORSKY AIRCRAFT CORPORATION,154.02,"4566865128!RETAINER,BOLT",,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,DLA AVIATION,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336411 AIRCRAFT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,1/8/2025,1/9/2025,2/14/2025,CONT_AWD_SPE4A625FAQV9_9700_SPE4A515D0018_9700,1/8/2025,SPE4A6
SPE8E925V0008,10/1/2024,"DAVIS AIRCRAFT PRODUCTS CO., INC.",6688.64,"8510930731!TIE DOWN,TANK",SPE8E924T5003,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,333120 CONSTRUCTION MACHINERY MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,10/1/2024,9/16/2025,4/4/2025,CONT_AWD_SPE8E925V0008_9700_-NONE-_-NONE-,10/1/2024,SPE8E9
SPE8E925V0459,11/25/2024,"PDI GROUND SUPPORT SYSTEMS, INC.",41357.5,"8511040832!PAD,ANGLED UMC",SPE8E925T0568,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,333120 CONSTRUCTION MACHINERY MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,11/25/2024,6/23/2025,7/19/2025,CONT_AWD_SPE8E925V0459_9700_-NONE-_-NONE-,11/25/2024,SPE8E9
SPE8E925V0460,11/25/2024,"PDI GROUND SUPPORT SYSTEMS, INC.",27144.5,"8511040871!PAD,CURVED UMC",SPE8E925T0571,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,333120 CONSTRUCTION MACHINERY MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,11/25/2024,6/23/2025,7/19/2025,CONT_AWD_SPE8E925V0460_9700_-NONE-_-NONE-,11/25/2024,SPE8E9
SPE8E925V1751,5/27/2025,"PDI GROUND SUPPORT SYSTEMS, INC.",12640.25,"8511405253!PAD,CURVED UMC",SPE8E925T2782,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,333120 CONSTRUCTION MACHINERY MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,5/27/2025,12/23/2025,7/14/2025,CONT_AWD_SPE8E925V1751_9700_-NONE-_-NONE-,5/27/2025,SPE8E9
SPE8ED25P1036,5/2/2025,"K & A SALES AND MARKETING, INC.",4130,8511357592!SURGE BRAKE ASSY,SPE8EF25T0676,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,2,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336212 TRUCK TRAILER MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,5/2/2025,9/15/2025,8/26/2025,CONT_AWD_SPE8ED25P1036_9700_-NONE-_-NONE-,5/2/2025,SPE8ED
SPE8ED25P1133,5/21/2025,EDWARDS INTERNATIONAL LLC,30723.3,"8511395454!WHEEL,FRONT,AIRCRAF",SPE8EF25T0757,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,10,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336390 OTHER MOTOR VEHICLE PARTS MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,5/21/2025,8/22/2025,8/24/2025,CONT_AWD_SPE8ED25P1133_9700_-NONE-_-NONE-,5/21/2025,SPE8ED
SPE8ED25P1146,5/23/2025,DEVAL LIFE CYCLE SUPPORT LLC,6274.5,"8511401040!NRP,PIVOT A006",SPE8EF25T1051,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA TROOP SUPPORT,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336212 TRUCK TRAILER MANUFACTURING,Department of Defense,Defense Logistics Agency,PURCHASE ORDER,5/23/2025,10/21/2025,8/18/2025,CONT_AWD_SPE8ED25P1146_9700_-NONE-_-NONE-,5/23/2025,SPE8ED
