Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
15F06725C0000448,5/27/2025,SIKORSKY AIRCRAFT CORPORATION,3895063.52,UH-60M TOTAL ASSURANCE PACKAGE,15F06725R0000077,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,FBI-JEH,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,488190 OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,Department of Justice,Federal Bureau of Investigation,DEFINITIVE CONTRACT,6/1/2025,5/31/2026,9/4/2025,CONT_AWD_15F06725C0000448_1549_-NONE-_-NONE-,5/27/2025,15F067
47QSWC25P0029,8/21/2025,WINONA VAN NORMAN INC,366812.55,CRANKSHAFT GRINDER,47QSWC25Q0169,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,5,FIRM FIXED PRICE,NO SET ASIDE USED.,COMMANDER,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,333517 MACHINE TOOL MANUFACTURING,Department of Defense,Department of the Navy,PURCHASE ORDER,8/22/2025,6/30/2026,8/26/2025,CONT_AWD_47QSWC25P0029_4732_-NONE-_-NONE-,8/21/2025,47QSWC
6973GH25F00320,12/26/2024,ROLLS-ROYCE DEUTSCHLAND LTD & CO KG,259608,"ROLLS ROYCE 6973GH-21-D-00007 OPTION YEAR 4  ENG #1 290 HOURS $447.60 $129,804.00 ENG #2 290 HOURS $447.60 $129,804.00    TOTAL OPTION YEAR:  $259,608.00    MONTHLY INVOICE =    $21,634.00",,ONLY ONE SOURCE,NOT COMPETED,,LABOR HOURS,,FAA,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,488190 OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,Department of Transportation,Federal Aviation Administration,DELIVERY ORDER,12/26/2024,12/31/2025,12/26/2024,CONT_AWD_6973GH25F00320_6920_6973GH21D00007_6920,12/26/2024,6973GH
70Z02825FMIAM0006,4/28/2025,"SPIKA DESIGN & MANUFACTURING, INC.",230448.77,TAIL AND FUSELAGE MAINTENANCE PLATFORM FOR AIR STATION CLEARWATER,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,1,FIRM FIXED PRICE,,7TH COAST GUARD DISTRICT OFFICE,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,326122 PLASTICS PIPE AND PIPE FITTING MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,4/28/2025,11/30/2025,4/28/2025,CONT_AWD_70Z02825FMIAM0006_7008_GS07F0086U_4730,4/28/2025,70Z028
70Z03325PSEAT0151,9/2/2025,CLEAN HARBORS ENVIRONMENTAL SERVICES INC,7000,AIRCRAFT WASHING,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,13TH COAST GUARD DISTRICT OFFICE,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,PURCHASE ORDER,8/27/2025,9/30/2025,9/2/2025,CONT_AWD_70Z03325PSEAT0151_7008_-NONE-_-NONE-,9/2/2025,70Z033
70Z03825FE0000041,7/25/2025,HELITUNE INC,3476.88,PURCHASE BRACKETS FOR AIRCRAFT MAINT.,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,7/25/2025,1/30/2026,7/25/2025,CONT_AWD_70Z03825FE0000041_7008_70Z03823DE0000003_7008,7/25/2025,70Z038
70Z03825FP0000016,5/21/2025,"FEDERAL RESOURCES SUPPLY COMPANY, LLC",2669.64,PURCHASE SURFACE PROBES FOR USE BY PERSONNEL PERFORMING MAINTENANCE AND REPAIR ON U.S. COAST GUARD AIRCRAFT.,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,3,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,334516 ANALYTICAL LABORATORY INSTRUMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,5/21/2025,6/30/2025,5/21/2025,CONT_AWD_70Z03825FP0000016_7008_GS07F9287S_4730,5/21/2025,70Z038
70Z03825FP0000026,9/4/2025,JLOGISTICS LLC,2258.5,PURCHASE 2.8 GALLON TANK LINERS.,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,4,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,332510 HARDWARE MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,9/4/2025,10/8/2025,9/4/2025,CONT_AWD_70Z03825FP0000026_7008_47QSHA22D0026_4732,9/4/2025,70Z038
70Z03825PD0000026,2/5/2025,S W INTERCONNECT INC,58000,PURCHASE OF DATABUS CABLE SETS USED TO TEST COAST GUARD AIRCRAFT WIRING.,70Z03825QE0000021,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,334419 OTHER ELECTRONIC COMPONENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,PURCHASE ORDER,2/5/2025,2/4/2026,2/5/2025,CONT_AWD_70Z03825PD0000026_7008_-NONE-_-NONE-,2/5/2025,70Z038
70Z03825PD0000035,3/13/2025,"CUDA II, INC",21435,SECTION 2(D) - PURCHASE AN ADAPTER DIFFUSER TO SUPPORT THE ENGINE.,70Z03825QE0000034,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,PURCHASE ORDER,3/13/2025,6/20/2025,3/13/2025,CONT_AWD_70Z03825PD0000035_7008_-NONE-_-NONE-,3/13/2025,70Z038
70Z03825PD0000072,8/1/2025,ULTRAX AEROSPACE INC,68995,PURCHASE STABILATOR (ELECTRONIC SYSTEMS) TEST SET FOR USE ON U.S. COAST GUARD AIRCRAFT.,70Z03825QE0000063,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,PURCHASE ORDER,8/1/2025,12/17/2025,8/1/2025,CONT_AWD_70Z03825PD0000072_7008_-NONE-_-NONE-,8/1/2025,70Z038
70Z03825PD0000074,8/13/2025,"AIRBUS DS MILITARY AIRCRAFT, INC.",42242.42,PURCHASE ORDER OF VARIOUS AIRBUS TOOLS TO SUPPORT THE USCG AVIATION LOGISTICS CENTER AIRCRAFT PRODUCT LINES AND PDM.,70Z03825QE0000073,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,PURCHASE ORDER,8/13/2025,5/11/2026,8/13/2025,CONT_AWD_70Z03825PD0000074_7008_-NONE-_-NONE-,8/13/2025,70Z038
70Z03825PF0000523,7/18/2025,"PURE & SECURE, LLC",21375,"PROCUREMENT OF TURBINE RINSE SYSTEM,REPLACEMENT AND ACCOMPANYING SERVICES (INSTALLATION, CERTIFICATION, AND TRAINING) FOR USE OF MH-65 AIRCRAFTS",,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,PURCHASE ORDER,7/18/2025,10/31/2025,7/18/2025,CONT_AWD_70Z03825PF0000523_7008_-NONE-_-NONE-,7/18/2025,70Z038
