Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
140P2123F0111,7/5/2023,VISTA OUTDOOR SALES LLC,14750,AMMUNITION FOR BASIC TRAINING-FLETC,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,1,FIRM FIXED PRICE,,WASHINGTON CONTRACTING OFFICE,1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,332992 SMALL ARMS AMMUNITION MANUFACTURING,Department of the Interior,National Park Service,DELIVERY ORDER,7/5/2023,6/22/2024,7/5/2023,CONT_AWD_140P2123F0111_1443_70LGLY20DGLB00004_7015,7/5/2023,140P21
15B61623F00000119,8/29/2023,PRIAX CORPORATION,725.5,FCC VICTORVILLE OC REFILLING SOLUTION FY23,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,1,FIRM FIXED PRICE,,FCC VICTORVILLE,1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,332999 ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,Department of Justice,Federal Prison System / Bureau of Prisons,DELIVERY ORDER,8/29/2023,9/29/2023,8/29/2023,CONT_AWD_15B61623F00000119_1540_GS07F0314T_4730,8/29/2023,15B616
15F06723P0001883,6/23/2023,TYR TACTICAL LLC,22031.74,TACTICAL GEAR FOR FBI LA,,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,LOS ANGELES FIELD OFFICE,1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,315990 APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,Department of Justice,Federal Bureau of Investigation,PURCHASE ORDER,6/23/2023,9/30/2023,7/11/2023,CONT_AWD_15F06723P0001883_1549_-NONE-_-NONE-,6/23/2023,15F067
19RC1123P0151,8/30/2023,DOMESTIC AWARDEES (UNDISCLOSED),31800,RSU BDSC RSO EOD MTDU 1434 ASH 19RC1123P0151 DA,,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,BUREAU OF DIPLOMATIC SECURITY,1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,332439 OTHER METAL CONTAINER MANUFACTURING,Department of State,Department of State,PURCHASE ORDER,8/30/2023,8/30/2023,9/12/2023,CONT_AWD_19RC1123P0151_1900_-NONE-_-NONE-,8/30/2023,19RC11
36C10M23N0005,12/8/2022,"POINT BLANK ENTERPRISES, INC",18525.75,VESTS,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,OFFICE OF INSPECTOR GENERAL OIG (36C10M),1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,334220 RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,Department of Veterans Affairs,Department of Veterans Affairs,BPA CALL,12/8/2022,5/7/2023,4/10/2023,CONT_AWD_36C10M23N0005_3600_36C10M23A0003_3600,12/8/2022,36C10M
36C10M23N0022,5/31/2023,"POINT BLANK ENTERPRISES, INC",35987.92,VESTS,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,OFFICE OF INSPECTOR GENERAL OIG (36C10M),1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,334220 RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,Department of Veterans Affairs,Department of Veterans Affairs,BPA CALL,6/1/2023,5/31/2024,5/2/2025,CONT_AWD_36C10M23N0022_3600_36C10M23A0003_3600,5/31/2023,36C10M
36C10M23N50044,8/28/2023,"POINT BLANK ENTERPRISES, INC",22520,CERAMIC PLATES,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,OFFICE OF INSPECTOR GENERAL OIG (36C10M),1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,334220 RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,Department of Veterans Affairs,Department of Veterans Affairs,BPA CALL,8/28/2023,5/31/2024,8/29/2023,CONT_AWD_36C10M23N50044_3600_36C10M23A0003_3600,8/28/2023,36C10M
36C10M23N50056,9/5/2023,"POINT BLANK ENTERPRISES, INC",12300,CERAMIC PLATES,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,OFFICE OF INSPECTOR GENERAL OIG (36C10M),1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,334220 RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,Department of Veterans Affairs,Department of Veterans Affairs,BPA CALL,9/5/2023,5/31/2024,9/5/2023,CONT_AWD_36C10M23N50056_3600_36C10M23A0003_3600,9/5/2023,36C10M
70B03C23P00000180,4/27/2023,SETCAN CORP,21883.19,PURCHASE OF STRESSVEST SYSTEMS,,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,OFFICE OF FIELD OPERATIONS,1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,423490 OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,Department of Homeland Security,U.S. Customs and Border Protection,PURCHASE ORDER,4/28/2023,5/27/2023,4/27/2023,CONT_AWD_70B03C23P00000180_7014_-NONE-_-NONE-,4/27/2023,70B03C
70B03C23P00000334,7/13/2023,SETCAN CORP,31965.37,PURCHASE OF STRESSVEST SYSTEMS,,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,OFFICE OF FIELD OPERATIONS,1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,423490 OTHER PROFESSIONAL EQUIPMENT AND SUPPLIES MERCHANT WHOLESALERS,Department of Homeland Security,U.S. Customs and Border Protection,PURCHASE ORDER,7/14/2023,8/14/2023,7/13/2023,CONT_AWD_70B03C23P00000334_7014_-NONE-_-NONE-,7/13/2023,70B03C
