Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
SPRTA123F0065,3/15/2023,RTX CORPORATION,12512.67,DEFLECTOR AIRFLOW IN SUPPORT OF THE F100 ENGINE,SPRTA123Q0010,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,3/15/2023,3/9/2024,3/22/2024,CONT_AWD_SPRTA123F0065_9700_SPE4A121G0001_9700,3/15/2023,SPRTA1
SPRTA123F0066,1/17/2023,CFM INTERNATIONAL INC,20051889,TURBINE ROTOR BLADES FOR F108 ENGINE,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,"DLA AVIATION AT OKLAHOMA CITY, OK","2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,1/17/2023,6/3/2023,3/29/2023,CONT_AWD_SPRTA123F0066_9700_SPE4AX17D9403_9700,1/17/2023,SPRTA1
SPRTA123F0068,2/22/2023,RTX CORPORATION,76815,NEW MANUFACTURED MATERIAL APPLICABLE TO F100 ENGINES,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS","332722 BOLT, NUT, SCREW, RIVET, AND WASHER MANUFACTURING",Department of Defense,Department of the Air Force,DELIVERY ORDER,2/22/2023,4/30/2025,2/22/2023,CONT_AWD_SPRTA123F0068_9700_SPE4AX16D9476_9700,2/22/2023,SPRTA1
SPRTA123F0070,1/20/2023,ROLLS-ROYCE CORPORATION,186672.2,FMS PURCHASE OF 10 EA NSN: 2840-00-150-7804,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,1/20/2023,4/1/2025,1/27/2023,CONT_AWD_SPRTA123F0070_9700_SPE4AX20D9400_9700,1/20/2023,SPRTA1
SPRTA123F0073,2/1/2023,RTX CORPORATION,170424.4,"HOUSING, GEARBOX",SPRTA123Q0058,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2/1/2023,4/30/2025,4/3/2024,CONT_AWD_SPRTA123F0073_9700_SPE4A121G0001_9700,2/1/2023,SPRTA1
SPRTA123F0075,2/15/2023,RTX CORPORATION,344377.71,"CASE, TURBINE",SPRTA123R0016,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3YCAB 848 SCMG GLSC,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2/15/2023,9/30/2024,3/9/2023,CONT_AWD_SPRTA123F0075_9700_SPE4A121G0001_9700,2/15/2023,SPRTA1
SPRTA123F0077,1/27/2023,ROLLS-ROYCE CORPORATION,19326.24,"FMS PURCHASE AGAINST THE ROLLS ROYCE CORPORATE CONTRACT, SPE4AX-20-D-9400, FOR 6 EA OF NSN: 2840-01-347-7857",,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,1/27/2023,7/1/2024,1/27/2023,CONT_AWD_SPRTA123F0077_9700_SPE4AX20D9400_9700,1/27/2023,SPRTA1
SPRTA123F0095,2/24/2023,RTX CORPORATION,162738.75,"NOZZLE SEGMENT,TURB IN SUPPORT OF THE F100 ENGINE.",SPRTA123Q0031,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3YTBK 948 SCMG 430 SCMS GUIB,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2/24/2023,9/1/2025,2/24/2023,CONT_AWD_SPRTA123F0095_9700_SPE4A121G0001_9700,2/24/2023,SPRTA1
SPRTA123F0096,2/23/2023,CFM INTERNATIONAL INC,1572500,AIR FORCE PURCHASE OF 10 EA NSN: 2840-01-199-1547,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F3YCAB 848 SCMG GLSC,"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2/23/2023,7/5/2023,4/13/2023,CONT_AWD_SPRTA123F0096_9700_SPE4AX17D9403_9700,2/23/2023,SPRTA1
SPRTA123F0097,2/22/2023,ROLLS-ROYCE CORPORATION,9281.62,AIRCRAFT BEARING SUPPORT FOR JET ENGINE,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,NAVSUP WSS PHIL FMS (MPN),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Department of the Navy,DELIVERY ORDER,2/22/2023,6/1/2023,8/21/2023,CONT_AWD_SPRTA123F0097_9700_SPE4AX20D9400_9700,2/22/2023,SPRTA1
