Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
SPE4A723F2959,2022-12-22,"HYDRAULICS INTERNATIONAL, INC.",6064.26,"8509606572!NRP,HOSE ASSEMBLY A",151,-843,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2022-12-22,2023-05-22,2023-08-26,CONT_AWD_SPE4A723F2959_9700_SPE4A520DC001_9700,2022-12-22,SPE4A7
SPE4A723F2961,2022-12-22,"HYDRAULICS INTERNATIONAL, INC.",3253.81,"8509606573!NRP,LEVEL SWITCH AS",120,-874,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2022-12-22,2023-04-21,2023-04-29,CONT_AWD_SPE4A723F2961_9700_SPE4A520DC001_9700,2022-12-22,SPE4A7
SPE4A723F3544,2023-01-13,"HYDRAULICS INTERNATIONAL, INC.",3837.56,"8509639430!HOSE ASSEMBLY,H.P.,",150,-822,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-01-13,2023-06-12,2023-06-17,CONT_AWD_SPE4A723F3544_9700_SPE4A520DC001_9700,2023-01-13,SPE4A7
SPE4A723F3546,2023-01-13,"HYDRAULICS INTERNATIONAL, INC.",326.43,"8509639358!HOSE HOOK,AIRCRAFT,",150,-822,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-01-13,2023-06-12,2023-06-17,CONT_AWD_SPE4A723F3546_9700_SPE4A520DC001_9700,2023-01-13,SPE4A7
SPE4A723F3572,2023-01-13,"HYDRAULICS INTERNATIONAL, INC.",1677.39,"8509639493!HOSE HOOK-CENTER,AI",150,-822,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-01-13,2023-06-12,2023-06-17,CONT_AWD_SPE4A723F3572_9700_SPE4A520DC001_9700,2023-01-13,SPE4A7
SPE4A723F3608,2023-01-13,"HYDRAULICS INTERNATIONAL, INC.",5345.08,"8509639685!NRP,FLOAT VALVE ASS",122,-850,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-01-13,2023-05-15,2023-01-13,CONT_AWD_SPE4A723F3608_9700_SPE4A520DC001_9700,2023-01-13,SPE4A7
SPE4A723F3660,2023-01-13,"HYDRAULICS INTERNATIONAL, INC.",249.38,"8509639934!NRP,SOLENIOD VALVE",122,-850,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-01-13,2023-05-15,2023-01-13,CONT_AWD_SPE4A723F3660_9700_SPE4A520DC001_9700,2023-01-13,SPE4A7
SPE4A723F3690,2023-01-13,"HYDRAULICS INTERNATIONAL, INC.",1290.13,"8509640090!HOSE,ASSY FILL,AIRC",150,-822,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-01-13,2023-06-12,2023-06-17,CONT_AWD_SPE4A723F3690_9700_SPE4A520DC001_9700,2023-01-13,SPE4A7
SPE4A723F3691,2023-01-13,"HYDRAULICS INTERNATIONAL, INC.",1290.13,"8509640091!HOSE,ASSY FILL,AIRC",150,-822,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-01-13,2023-06-12,2023-06-17,CONT_AWD_SPE4A723F3691_9700_SPE4A520DC001_9700,2023-01-13,SPE4A7
SPE4A723F3901,2023-01-24,THE BOEING COMPANY,44053.49,"8509657737!ADAPTER,TEST,AIRCRA",857,-104,Ended,SPE4A722T555Z,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,DLA AVIATION,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Defense Logistics Agency,DELIVERY ORDER,2023-01-24,2025-05-30,2025-07-11,CONT_AWD_SPE4A723F3901_9700_SPE4A119G0013_9700,2023-01-24,SPE4A7
