Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
12363N24P4014,4/8/2024,FORSTAT INC,35664,2024 VEXAR PURCHASE FOR ANIMAL DAMAGE CONTROL.  THERE ARE 2 SEPARATE SHIPPING LOCATIONS ON THE KOOTENAI NATIONAL FOREST WITH THE DEFINED QUANTITIES STATED IN THE SCHEDULE B.   SHIPPING LOCATION #1:  LIBBY AND THREE RIVERS ORDERS WILL BE SHIPPED,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,7,FIRM FIXED PRICE,NO SET ASIDE USED.,KOOTENAI NATIONAL FOREST,"4710 PIPE, TUBE AND RIGID TUBING",115310 SUPPORT ACTIVITIES FOR FORESTRY,Department of Agriculture,Forest Service,PURCHASE ORDER,4/24/2024,5/3/2024,6/3/2024,CONT_AWD_12363N24P4014_12C2_-NONE-_-NONE-,4/8/2024,12363N
1240LN24P0022,7/29/2024,R. E. MILLER AND SONS,20413.6,"1 SINGLE UNIT PIPE ARCH CULVERT 112 X 75 X 56 (5 X 1 CORRUGATIONS) 12 GA MINIMUM THICKNESS. ORDER INCLUDES THE FABRICATION, DELIVERY, AND OFF-LOADING, OF 1 SINGLE UNIT PIPE ARCH CULVERT AS DESCRIBED.",1240LN24Q0040,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,USDA FOREST SERVICE,"4710 PIPE, TUBE AND RIGID TUBING",332312 FABRICATED STRUCTURAL METAL MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,7/29/2024,9/12/2024,7/29/2024,CONT_AWD_1240LN24P0022_12C2_-NONE-_-NONE-,7/29/2024,1240LN
1240LP24F0033,8/26/2024,BURHANI ENTERPRISES INC,34401.96,CULVERT ORDER (POLY),,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,2,FIRM FIXED PRICE,,Medicine Bow-Routt National Forest,"4710 PIPE, TUBE AND RIGID TUBING",332510 HARDWARE MANUFACTURING,Department of Agriculture,Forest Service,DELIVERY ORDER,9/1/2024,10/1/2024,10/31/2024,CONT_AWD_1240LP24F0033_12C2_47QSHA22D000M_4732,8/26/2024,1240LP
1240LP24P0015,3/11/2024,FORSTAT INC,24950,SUPPLY ORDER TO PURCHASE VEXAR TUBES AND STAKES FOR 2024 TREE PLANTING CONTRACT.,1240LP24Q0024,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,4,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,Black Hills National Forest,"4710 PIPE, TUBE AND RIGID TUBING",111421 NURSERY AND TREE PRODUCTION,Department of Agriculture,Forest Service,PURCHASE ORDER,3/8/2024,4/5/2024,5/22/2024,CONT_AWD_1240LP24P0015_12C2_-NONE-_-NONE-,3/11/2024,1240LP
1240LS24P0071,8/21/2024,ARHAB LLC,136554.64,UWC NF TIE FORK WATERSHED RESTORATION AND FLNF GAOA SALINA CREEK ROAD CULVERTS,1240LS24Q0070,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,6,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,Unita-Wasatch-Cache National Forest,"4710 PIPE, TUBE AND RIGID TUBING",331210 IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,Department of Agriculture,Forest Service,PURCHASE ORDER,8/21/2024,11/22/2024,11/14/2024,CONT_AWD_1240LS24P0071_12C2_-NONE-_-NONE-,8/21/2024,1240LS
12444624P0027,2/20/2024,MILLER PRODUCTS & SUPPLY CO,142250.19,CHEQUAMEGON-NICOLET NATIONAL FOREST - FOREST WIDE CULVERTS,12444624Q0020,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,7,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,USDA  FOREST SERVICE,"4710 PIPE, TUBE AND RIGID TUBING",332312 FABRICATED STRUCTURAL METAL MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,2/21/2024,5/15/2024,3/22/2024,CONT_AWD_12444624P0027_12C2_-NONE-_-NONE-,2/20/2024,124446
127EAV24F0025,5/6/2024,BURHANI ENTERPRISES INC,17396.97,CIBOLA NATIONAL FOREST MAGDALENA RANGER DISTRICT/ SUPPLY ORDER FOR 24IN DIAMETER CULVERT SECTIONS AND CONNECTING BANDS AND 36IN DIAMETER CULVERTS AND CONNECTING BANDS.  PERIOD OF PERFORMANCE:4/30/2024 TO 5/17/2024 DELIVERY TO LOCATION: MAGDALENA,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,2,FIRM FIXED PRICE,,"Southwestern Regional Office, Region 3","4710 PIPE, TUBE AND RIGID TUBING",332510 HARDWARE MANUFACTURING,Department of Agriculture,Forest Service,DELIVERY ORDER,4/30/2024,5/17/2024,2/1/2025,CONT_AWD_127EAV24F0025_12C2_47QSHA22D000M_4732,5/6/2024,127EAV
127EAY24P0052,7/3/2024,DGS SERVICES INC.,8280,PROCUREMENT FOR PIPE TO REPLACE TENNANT RANGE WATERLINE.,127EAY24Q0057,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,16,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,Klamath National Forest,"4710 PIPE, TUBE AND RIGID TUBING",332996 FABRICATED PIPE AND PIPE FITTING MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,6/26/2024,9/30/2024,10/1/2024,CONT_AWD_127EAY24P0052_12C2_-NONE-_-NONE-,7/3/2024,127EAY
1284LL24P0038,5/16/2024,INTERNATIONAL GREENHOUSE CONTRACTORS LLC,95939,"IRRIGATION BOOMS, COEUR D'ALENE NURSERY, IDAHO PANHANDLE NATIONAL FORESTS",1284LL24Q0045,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,4,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,IDAHO PANHANDLE NATIONAL FOREST,"4710 PIPE, TUBE AND RIGID TUBING",333111 FARM MACHINERY AND EQUIPMENT MANUFACTURING,Department of Agriculture,Forest Service,PURCHASE ORDER,5/16/2024,9/20/2024,6/12/2024,CONT_AWD_1284LL24P0038_12C2_-NONE-_-NONE-,5/16/2024,1284LL
12970224C0037,9/10/2024,KD BART FEDERAL SERVICES LLC,29960,PIPE FITTINGS TO REPAIR/REPLACE WATER DEVELOPMENTS AND CORRALS ON RANGE ALLOTMENTS THAT WAS DAMAGED DURING THE HERMITS PEAK/CALF CANYON (HPCC) WILDFIRE.,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,8,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,Santa Fe National Forest,"4710 PIPE, TUBE AND RIGID TUBING",332996 FABRICATED PIPE AND PIPE FITTING MANUFACTURING,Department of Agriculture,Forest Service,DEFINITIVE CONTRACT,9/5/2024,12/31/2024,10/3/2024,CONT_AWD_12970224C0037_12C2_-NONE-_-NONE-,9/10/2024,129702
12970224P0001,12/20/2023,QUALITY PARTS ON TIME LLC,69585.59,CULVERT PIPES AND METAL BANDS,12970224Q0001,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,16,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,Klamath National Forest,"4710 PIPE, TUBE AND RIGID TUBING",331210 IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,Department of Agriculture,Forest Service,PURCHASE ORDER,12/20/2023,4/19/2024,4/26/2024,CONT_AWD_12970224P0001_12C2_-NONE-_-NONE-,12/20/2023,129702
12FPC324P0030,4/26/2024,GEO SCIENTIFIC LTD,18045,ORDER TO PROCURE SNOW SAMPLING TUBES.,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NRCS-OR STATE OFFICE,"4710 PIPE, TUBE AND RIGID TUBING",332996 FABRICATED PIPE AND PIPE FITTING MANUFACTURING,Department of Agriculture,Natural Resources Conservation Service,PURCHASE ORDER,4/26/2024,8/16/2024,3/5/2025,CONT_AWD_12FPC324P0030_12D0_-NONE-_-NONE-,4/26/2024,12FPC3
140A1124P0047,9/16/2024,RLH INC.,35324,CORRUGATED STEEL PIPE,140A1124Q0090,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,4,FIRM FIXED PRICE,INDIAN SMALL BUSINESS ECONOMIC ENTERPRISE,WESTERN REGION,"4710 PIPE, TUBE AND RIGID TUBING",331210 IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL,Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,PURCHASE ORDER,9/16/2024,11/1/2024,9/16/2024,CONT_AWD_140A1124P0047_1450_-NONE-_-NONE-,9/16/2024,140A11
