Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
FA488722P0029,2022-05-05,"EHPRO CUSTOM FABRICATION, LLC",261275.75,AIRCRAFT TRAVEL PODS REFURBISHMENT FOR F-15 AND F-35.,241,-969,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F2U200 56 MAINTENANCE GROUP,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,811310 COMMERCIAL AND INDUSTRIAL MACHINERY AND EQUIPMENT (EXCEPT AUTOMOTIVE AND ELECTRONIC) REPAIR AND MAINTENANCE,Department of Defense,Department of the Air Force,PURCHASE ORDER,2022-05-05,2023-01-01,2022-06-30,CONT_AWD_FA488722P0029_9700_-NONE-_-NONE-,2022-05-05,FA4887
FA850922F0040,2022-09-22,"SSAI OF GEORGIA, LLC",3911020.0,MCJ COMMMANDO II SMS KITS,943,-119,Ended,FA850922R0022,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,3,FIRM FIXED PRICE,,F3QCBB AFLCMC WIU,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336411 AIRCRAFT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2022-09-30,2025-04-30,2025-08-19,CONT_AWD_FA850922F0040_9700_FA850920D0011_9700,2022-09-22,FA8509
FA855222F0004,2021-10-28,T3 AEROSPACE LLC,835147.19,MACM-LAND MOBILE RADIO,1401,6,1-14,FA855221R0006,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,4,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,F3QCBB AFLCMC WIU,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336411 AIRCRAFT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2021-11-01,2025-09-02,2024-11-07,CONT_AWD_FA855222F0004_9700_FA850920D0012_9700,2021-10-28,FA8552
FA862922F0442,2022-02-16,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",55202.46,NEW ZEALAND C-130J PROGRAM KY-75 EQUIPMENT RACKS,226,-1062,Ended,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDCT AFLCMC WLN J,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2022-02-16,2022-09-30,2022-02-22,CONT_AWD_FA862922F0442_9700_FA862920D5020_9700,2022-02-16,FA8629
FA862922F0452,2022-08-24,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",64765.7,RAPID DEVELOPMENT INTEGRATION FACILITY,494,-605,Ended,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDBY AFLCMC WIH CRH,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2022-08-24,2023-12-31,2022-09-06,CONT_AWD_FA862922F0452_9700_FA862920D5020_9700,2022-08-24,FA8629
FA862922F0454,2022-09-29,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",407364.0,RAPID DEVELOPMENT INTERGRATION FACILITY,366,-697,Ended,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDBY AFLCMC WIH CRH,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2022-09-29,2023-09-30,2025-04-24,CONT_AWD_FA862922F0454_9700_FA862920D5020_9700,2022-09-29,FA8629
FA862922F0457,2022-09-06,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",87537.53,RAPID DEVELOPMENT INTEGRATION FACILITY,906,-180,Ended,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F3QCBB AFLCMC WIU,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2022-09-06,2025-02-28,2025-04-26,CONT_AWD_FA862922F0457_9700_FA862920D5020_9700,2022-09-06,FA8629
FA940122P0010,2022-06-03,RHEA'S CONTRACTING AGENCY INC.,0.0,C-130 AIRCRAFT WING DISMANTLING FOR THE 58TH TRAINING SQUADRON,14,-1167,Ended,FA940122QZ002,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,58 TRS,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,488190 OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,Department of Defense,Department of the Air Force,PURCHASE ORDER,2022-06-03,2022-06-17,2022-07-08,CONT_AWD_FA940122P0010_9700_-NONE-_-NONE-,2022-06-03,FA9401
N0001922C0049,2022-04-18,"SIERRA NEVADA COMPANY, LLC",13363636.4,KC130J WEAPONS AND SENSOR SUSTAINMENT AND MODIFICATION SUPPORT,1320,95,>60,N0001921R0067,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAL AIR SYSTEMS COMMAND,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2022-04-20,2025-11-30,2024-10-28,CONT_AWD_N0001922C0049_9700_-NONE-_-NONE-,2022-04-18,N00019
N0001922F0001,2022-05-12,LOCKHEED MARTIN CORPORATION,184551699.01,PCD EU VM DMS REDESIGN,2830,1618,>60,,ONLY ONE SOURCE,NOT COMPETED,1,COST PLUS FIXED FEE,NO SET ASIDE USED.,NAVAL AIR SYSTEMS COMMAND,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336411 AIRCRAFT MANUFACTURING,Department of Defense,Department of the Navy,DELIVERY ORDER,2022-05-03,2030-01-31,2024-11-26,CONT_AWD_N0001922F0001_9700_N0001919G0008_9700,2022-05-12,N00019
