Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
33131223P00482853,2022-10-25,HILO AIR A/C REFRIGERATION LLC,6074.04,.,180,-860,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,SMITHSONIAN ASTROPHYSICAL OBSERVATORY,1710 AIRCRAFT LANDING EQUIPMENT,"238220 PLUMBING, HEATING, AND AIR-CONDITIONING CONTRACTORS",Smithsonian Institution,Smithsonian Institution,PURCHASE ORDER,2022-10-25,2023-04-23,2023-04-14,CONT_AWD_33131223P00482853_3300_-NONE-_-NONE-,2022-10-25,331312
693KA823P00016,2023-09-07,AIRPORT LIGHTING CO OF NY INC,116985.0,PROCUREMENT OF THE ELECTRICAL METALLIC TUBE (EMT) 2IN FRANGIBLE COUPLINGS FOR USE IN MOUNTING PAR-38 AND PAR-56 LAMP HOLDERS FOR THE MEDIUM INTENSITY APPROACH LIGHTING SYSTEM WITH RUNWAY ALIGNMENT INDICATOR LIGHTS (MALSR) AND HIGH-INTENSITY APPROACH,366,-357,Ended,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,1,FIRM FIXED PRICE,NO SET ASIDE USED.,693KA8 SYSTEM OPERATIONS CONTRACTS,1710 AIRCRAFT LANDING EQUIPMENT,335139 ELECTRIC LAMP BULB AND OTHER LIGHTING EQUIPMENT MANUFACTURING,Department of Transportation,Federal Aviation Administration,PURCHASE ORDER,2023-09-07,2024-09-07,2024-07-09,CONT_AWD_693KA823P00016_6920_-NONE-_-NONE-,2023-09-07,693KA8
70Z03823PC0000272,2023-07-27,"PDI GROUND SUPPORT SYSTEMS, INC.",64200.0,PURCHASE OF QUICK ENGINE CHANGE DOLLY ADAPTER FOR USE ON LONG RANGE SURVEILLANCE AIRCRAFT.,231,-534,Ended,70Z03823QH0000159,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,PURCHASE ORDER,2023-07-27,2024-03-14,2023-08-01,CONT_AWD_70Z03823PC0000272_7008_-NONE-_-NONE-,2023-07-27,70Z038
70Z08523PAC002B00,2022-12-28,ADI TECHNOLOGIES INC.,19428.84,NSN: 5305-14-463-7787 GFE KITS,169,-807,Ended,70Z08523QAC002B00,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,SURFACE FORCES LOGISTICS CENTER,1710 AIRCRAFT LANDING EQUIPMENT,423840 INDUSTRIAL SUPPLIES MERCHANT WHOLESALERS,Department of Homeland Security,U.S. Coast Guard,PURCHASE ORDER,2022-12-28,2023-06-15,2024-05-31,CONT_AWD_70Z08523PAC002B00_7008_-NONE-_-NONE-,2022-12-28,70Z085
FA465423P0007,2023-08-09,HALLIDAY TECHNOLOGIES INC,67850.0,CONTINUOUS FRICTION MEASUREMENT SYSTEM,113,-639,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,WOMEN OWNED SMALL BUSINESS SOLE SOURCE,F5D001 434 ARW FM,1710 AIRCRAFT LANDING EQUIPMENT,334519 OTHER MEASURING AND CONTROLLING DEVICE MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,2023-08-09,2023-11-30,2024-05-01,CONT_AWD_FA465423P0007_9700_-NONE-_-NONE-,2023-08-09,FA4654
FA481923F0026,2023-04-20,"HOLMES TOOL AND ENGINEERING, INC.",403220.0,AIRCRAFT ARRESTING PARTS FOR CEMIRT TYNDALL AFB.,90,-773,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,2,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,AFCEC EAST CEMR,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,BPA CALL,2023-04-20,2023-07-19,2023-05-08,CONT_AWD_FA481923F0026_9700_FA481921A0005_9700,2023-04-20,FA4819
FA488723P0089,2023-09-08,"CURTISS-WRIGHT FLOW CONTROL SERVICE, LLC",401893.0,POWER PRO TEXTILE AIRCRAFT BRAKING SYSTEM (2 UN),174,-548,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F2U312 56 CIVIL ENG CEOE,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,2023-09-08,2024-02-29,2023-09-21,CONT_AWD_FA488723P0089_9700_-NONE-_-NONE-,2023-09-08,FA4887
FA560623P0078,2023-09-14,PURIVOX SAAT- UND ERNTESCHUTZGERAETE GMBH,85676.39,BIRD/WILDLIFE AIRCRAFT STRIKE HAZARD (BASH) CANNON SYSTEM.,70,-647,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,2,FIRM FIXED PRICE,NO SET ASIDE USED.,52ND CPTS,1710 AIRCRAFT LANDING EQUIPMENT,561710 EXTERMINATING AND PEST CONTROL SERVICES,Department of Defense,Department of the Air Force,PURCHASE ORDER,2023-09-13,2023-11-22,2024-02-23,CONT_AWD_FA560623P0078_9700_-NONE-_-NONE-,2023-09-14,FA5606
FA664823C0015,2023-04-17,"CURTISS-WRIGHT FLOW CONTROL SERVICE, LLC",1032000.0,BAK-14M SYSTEM,354,-550,Ended,FA664823R0003,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,BASE CIVIL ENGINEER,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,2023-03-10,2024-02-27,2024-01-11,CONT_AWD_FA664823C0015_9700_-NONE-_-NONE-,2023-04-17,FA6648
FA664823P0019,2023-09-19,MILITARY AIRLIFT EXPERTS LLC (MILAIRX LLC),34050.2,AIRLIFT SHORING KIT FOR HOMESTEAD ARB,143,-568,Ended,,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,MAINTE3NANCE GP,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,2023-09-19,2024-02-09,2023-12-18,CONT_AWD_FA664823P0019_9700_-NONE-_-NONE-,2023-09-19,FA6648
FA820123P0050,2023-08-17,AGE LOGISTICS CORPORATION,255000.0,AIR CRAFT DOLLY SYSTEM,44,-700,Ended,,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F2D0AS 388 EMS,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,2023-08-17,2023-09-30,2023-11-21,CONT_AWD_FA820123P0050_9700_-NONE-_-NONE-,2023-08-17,FA8201
FA853423F0069,2023-07-10,"CURTISS-WRIGHT FLOW CONTROL SERVICE, LLC",267605.64,THIS EFFORT IS TO ACQUIRE AND SUSTAIN THE MOBILE RUNWAY EDGE SHEAVE (MRES) TO ASSIST IN THE SUCCESS OF THE MOBILE AIRCRAFT ARRESTING SYSTEM (MAAS) AND TO MAKE UP THE DEPLOYABLE TEMPORARY AIRCRAFT ARRESTING SYSTEM.,343,-439,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F3QCDK AFLCMC ROZ SPT EQUIP VEH,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2023-07-10,2024-06-17,2024-06-17,CONT_AWD_FA853423F0069_9700_FA853421D0001_9700,2023-07-10,FA8534
FA853423F0084,2023-09-20,"CURTISS-WRIGHT FLOW CONTROL SERVICE, LLC",1873239.48,PROCUREMENT OF MOBILE EDGE SHEAVE,91,-299,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F3QCDK AFLCMC ROZ SPT EQUIP VEH,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,2024-08-05,2024-11-04,2025-07-07,CONT_AWD_FA853423F0084_9700_FA853421D0001_9700,2023-09-20,FA8534
FA873023C0013,2023-01-19,"ACG SYSTEMS, INC.",1151000.0,ULTRA HIGH FREQUENCY / VERY HIGH FREQUENCY RADIOS FOR EGYPT FOREIGN MILITARY SALES CASE NUMBER EG-D-QFT,923,-30,Ended,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F2BDDL AFLCMC HBAN,1710 AIRCRAFT LANDING EQUIPMENT,334220 RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,2023-01-20,2025-07-31,2025-08-14,CONT_AWD_FA873023C0013_9700_-NONE-_-NONE-,2023-01-19,FA8730
N0038323CC236,2023-09-18,THE ENTWISTLE COMPANY LLC,1694000.0,"PANEL,SUB ASSEMBLY,",590,-122,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVSUP WEAPON SYSTEMS SUPPORT,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2023-09-18,2025-04-30,2025-04-14,CONT_AWD_N0038323CC236_9700_-NONE-_-NONE-,2023-09-18,N00383
