Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,BSA,Budget SubActivity (BSA) Title,Budget Line Item,Budget Line Item (BLI) Title,Cost Type,Cost Type Title,FY 2024 Actuals Quantity,FY 2024 Actuals Amount,FY 2025 Enacted Quantity,FY 2025 Enacted Amount,FY 2026 Disc Request Quantity,FY 2026 Disc Request Amount,FY 2026 Reconciliation Request Quantity,FY 2026 Reconciliation Request Amount,FY 2026 Total Quantity,FY 2026 Total Amount
2031A,"Aircraft Procurement, Army",A,01,Aircraft,2,10,Fixed Wing,9670A00005,MQ-1 UAV,A,Weapon System Cost,,,8,"240,000",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,3,10,Fixed Wing,9672A00510,Future UAS Family,A,Weapon System Cost,,,,"143,182",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,5,10,Fixed Wing,9678A12500,SMALL UNMANNED AIRCRAFT SYSTEMS,A,Weapon System Cost,,"49,969",,"43,514",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,6,10,Fixed Wing,9697A12400,"HADES PLATFORM, PAYLOADS/PED, AND INTEGRATION",A,Weapon System Cost,,,,,,"26,850",,,,"26,850"
2031A,"Aircraft Procurement, Army",A,01,Aircraft,8,20,Rotary,4742A05001,UH-72 LAKOTA LIGHT UTILITY HELICOPTER,A,Weapon System Cost,1,"10,000",,"10,000",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,9,20,Rotary,5757A05111,AH-64 Apache Block IIIA Reman,A,Weapon System Cost,37,"818,535",31,"667,759",,"1,669",,,,"1,669"
2031A,"Aircraft Procurement, Army",A,01,Aircraft,9,20,Rotary,5757A05111,AH-64 Apache Block IIIA Reman,B,Less: Advance Procurement (PY),,"-169,218",,"-110,360",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,10,20,Rotary,5757A05111,AH-64 Apache Block IIIA Reman,C,Advance Procurement (CY),,"110,360",,,,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,13,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),A,Weapon System Cost,26,"796,405",26,"861,548",24,"790,230",,,24,"790,230"
2031A,"Aircraft Procurement, Army",A,01,Aircraft,13,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),B,Less: Advance Procurement (PY),,"-68,147",,"-92,494",,"-58,170",,,,"-58,170"
2031A,"Aircraft Procurement, Army",A,01,Aircraft,14,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),C,Advance Procurement (CY),,"92,494",,"58,170",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,16,20,Rotary,6773A05009,UH-60 Black Hawk L and V Models,A,Weapon System Cost,26,"153,196",,,,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,17,20,Rotary,6775A05101,CH-47 Helicopter,A,Weapon System Cost,9,"442,636",10,"718,634",11,"618,798",,,11,"618,798"
2031A,"Aircraft Procurement, Army",A,01,Aircraft,17,20,Rotary,6775A05101,CH-47 Helicopter,B,Less: Advance Procurement (PY),,"-18,749",,"-18,936",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,18,20,Rotary,6775A05101,CH-47 Helicopter,C,Advance Procurement (CY),,"18,936",,,,"61,421",,,,"61,421"
2031A,"Aircraft Procurement, Army",A,01,Aircraft,20,20,Rotary,9990A19900,Spectrum Army SUAS,A,Weapon System Cost,,"1,741",,,,,,,,
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,23,10,Modification of Aircraft,0023A01001,MQ-1 PAYLOAD,A,Weapon System Cost,,"13,650",,"14,086",,,,,,
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,25,10,Modification of Aircraft,0756AA6601,Gray Eagle Mods2,A,Weapon System Cost,,"82,959",,"23,865",,,,,,
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,27,10,Modification of Aircraft,2706AA6605,AH-64 MODS,A,Weapon System Cost,,"141,402",,"93,826",,"125,236",,,,"125,236"
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,28,10,Modification of Aircraft,2724A12700,SCALABLE CONTROL INTERFACE (SCI),A,Weapon System Cost,,,,,,"1,257",,,,"1,257"
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,29,10,Modification of Aircraft,3264AA0252,CH-47 Cargo Helicopter Mods (MYP),A,Weapon System Cost,,"50,689",,"38,925",,"17,709",,,,"17,709"
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,34,10,Modification of Aircraft,6949AA0480,Utility Helicopter Mods,A,Weapon System Cost,,"56,379",,"39,565",,"33,659",,,,"33,659"
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,36,10,Modification of Aircraft,8658AA0712,Network And Mission Plan,A,Weapon System Cost,,"44,558",,"52,862",,"40,472",,,,"40,472"
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,37,10,Modification of Aircraft,8659AA0723,"Comms, Nav Surveillance",A,Weapon System Cost,,"74,912",,"61,362",,"11,566",,,,"11,566"
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,38,10,Modification of Aircraft,8660A00713,Degraded Visual Environment,A,Weapon System Cost,,"16,838",,"3,839",,,,,,
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,39,10,Modification of Aircraft,8662A01006,Aviation ASSURED PNT,A,Weapon System Cost,,"67,383",,"69,161",,"49,475",,,,"49,475"
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,40,10,Modification of Aircraft,8859AA0711,GATM Rollup,A,Weapon System Cost,,"8,924",,"4,842",,"4,651",,,,"4,651"
2031A,"Aircraft Procurement, Army",A,02,Modification of aircraft,42,10,Modification of Aircraft,9556A01002,UAS MODS,A,Weapon System Cost,,"2,258",,"2,265",,,,,,
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,45,10,Ground Support Avionics,3632AZ3504,Aircraft Survivability Equipment,A,Weapon System Cost,,"121,562",,"139,331",,"129,167",,,,"129,167"
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,46,10,Ground Support Avionics,5044AZ3507,Survivability CM,A,Weapon System Cost,,"6,526",,,,,,,,
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,47,10,Ground Support Avionics,5397AZ3517,CMWS,A,Weapon System Cost,,"71,964",,"51,646",,"38,419",,,,"38,419"
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,48,10,Ground Support Avionics,5399AZ3537,Common Infrared Countermeasures (CIRCM),A,Weapon System Cost,125,"251,384",100,"257,854",84,"225,647",,,84,"225,647"
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,50,30,Other Support,5212AZ3100,Common Ground Equipment,A,Weapon System Cost,,"27,752",,"31,181",,"29,489",,,,"29,489"
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,52,30,Other Support,6380AZ3110,Aircrew Integrated Systems,A,Weapon System Cost,,"22,097",,"14,478",,"14,986",,,,"14,986"
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,53,30,Other Support,6818AA0050,Air Traffic Control,A,Weapon System Cost,,"19,216",,"27,428",,"24,213",,,,"24,213"
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,54,30,Other Support,9154A50100,"Launcher, 2.75 Rocket",A,Weapon System Cost,,"2,125",,"3,815",,"1,611",,,,"1,611"
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,55,30,Other Support,9157J01200,Launcher Guided Missile: Longbow Hellfire XM2,A,Weapon System Cost,,,,"21,543",,,,,,
2031A,"Aircraft Procurement, Army",A,04,Support equipment and facilities,56,30,Other Support,9900AZ9999,Closed Account Adjustment,A,Weapon System Cost,,302,,,,,,,,
2031A,"Aircraft Procurement, Army",A,06,AGILE PORTFOLIO MANAGEMENT,57,10,Agile Portfolio Management,7000I47000,SMALL UNMANNED AERIAL SYSTEMS,A,Weapon System Cost,,,,,,"726,034",,,,"726,034"
2031A,"Aircraft Procurement, Army",A,06,AGILE PORTFOLIO MANAGEMENT,58,10,Agile Portfolio Management,8000I48000,FUTURE UNMANNED AERIAL SYSTEMS (UAS) FAMILY,A,Weapon System Cost,,,,,,"118,459",,,,"118,459"
2031A,"Aircraft Procurement, Army",A,06,AGILE PORTFOLIO MANAGEMENT,59,10,Agile Portfolio Management,9000I49000,GRAY EAGLE MODIFICATIONS,A,Weapon System Cost,,,,,,"12,351",,,,"12,351"
2032A,"Missile Procurement, Army",A,02,Other missiles,2,10,Surface-to-Air Missile System,7265C12000,Lower Tier Air and Missile Defense (AMD)  Sen,A,Weapon System Cost,,"158,799",,"387,629",,"637,473",,"618,000",,"1,255,473"
2032A,"Missile Procurement, Army",A,02,Other missiles,2,10,Surface-to-Air Missile System,7265C12000,Lower Tier Air and Missile Defense (AMD)  Sen,B,Less: Advance Procurement (PY),,"-9,200",,,,,,,,
2032A,"Missile Procurement, Army",A,02,Other missiles,4,10,Surface-to-Air Missile System,8082C14300,M-SHORAD - Procurement,A,Weapon System Cost,59,"892,497",,"69,091",44,"679,114",,"50,000",44,"729,114"
2032A,"Missile Procurement, Army",A,02,Other missiles,6,10,Surface-to-Air Missile System,8260C53101,MSE Missile,A,Weapon System Cost,230,"2,562,908",214,"1,031,060",233,"1,071,905",,"366,000",233,"1,437,905"
2032A,"Missile Procurement, Army",A,02,Other missiles,6,10,Surface-to-Air Missile System,8260C53101,MSE Missile,B,Less: Advance Procurement (PY),,,,"-126,000",,"-126,000",,,,"-126,000"
2032A,"Missile Procurement, Army",A,02,Other missiles,7,10,Surface-to-Air Missile System,8260C53101,MSE Missile,C,Advance Procurement (CY),,"252,000",,,,,,,,
2032A,"Missile Procurement, Army",A,02,Other missiles,9,10,Surface-to-Air Missile System,8540C29600,PRECISION STRIKE MISSILE (PRSM),A,Weapon System Cost,98,"1,048,491",230,"457,509",45,"160,846",,"202,816",45,"363,662"
2032A,"Missile Procurement, Army",A,02,Other missiles,11,10,Surface-to-Air Missile System,8930C61001,INDIRECT FIRE PROTECTION CAPABILITY INC 2-I,A,Weapon System Cost,,"256,753",,"552,444",,"830,579",,"188,000",,"1,018,579"
2032A,"Missile Procurement, Army",A,02,Other missiles,12,10,Surface-to-Air Missile System,9214C81200,MID-RANGE CAPABILITY (MRC),A,Weapon System Cost,,"169,519",,"233,037",,"82,407",,,,"82,407"
2032A,"Missile Procurement, Army",A,02,Other missiles,13,10,Surface-to-Air Missile System,9216C82200,COUNTER SMALL UNMANNED AERIAL SYSTEM INTERCEP,A,Weapon System Cost,,,,"302,261",,,,,,
2032A,"Missile Procurement, Army",A,02,Other missiles,14,20,Air-To-Surface Missile System,1338C70000,Hellfire Sys Summary,A,Weapon System Cost,,"21,976",,,,,,,,
2032A,"Missile Procurement, Army",A,02,Other missiles,15,20,Air-To-Surface Missile System,2605C70302,Joint Air-to-Ground MSLS (JAGM),A,Weapon System Cost,"1,137","350,669",23,"47,582",178,"84,667",,,178,"84,667"
2032A,"Missile Procurement, Army",A,02,Other missiles,16,20,Air-To-Surface Missile System,2607C71300,Long Range Precision Munition,A,Weapon System Cost,,"5,000",,,,,,,,
2032A,"Missile Procurement, Army",A,02,Other missiles,17,20,Air-To-Surface Missile System,2611C72100,LONG-RANGE HYPERSONIC WEAPON,A,Weapon System Cost,,"62,843",,"669,178",,"353,415",,"85,000",,"438,415"
2032A,"Missile Procurement, Army",A,02,Other missiles,18,30,Anti-Tank/Assault Missile Sys,0648CC0007,Javelin (AAWS-M) System Summary,A,Weapon System Cost,"1,279","360,745",450,"223,873",649,"329,205",,,649,"329,205"
2032A,"Missile Procurement, Army",A,02,Other missiles,19,30,Anti-Tank/Assault Missile Sys,2104C59300,TOW 2 System Summary,A,Weapon System Cost,867,"180,764",420,"105,295",,"11,731",,,,"11,731"
2032A,"Missile Procurement, Army",A,02,Other missiles,20,30,Anti-Tank/Assault Missile Sys,6005C64400,Guided MLRS Rocket (GMLRS),A,Weapon System Cost,"1,854","1,367,173",,"1,199,177",,"1,155,071",,,,"1,155,071"
2032A,"Missile Procurement, Army",A,02,Other missiles,20,30,Anti-Tank/Assault Missile Sys,6005C64400,Guided MLRS Rocket (GMLRS),B,Less: Advance Procurement (PY),,,,"-30,913",,"-30,000",,,,"-30,000"
2032A,"Missile Procurement, Army",A,02,Other missiles,21,30,Anti-Tank/Assault Missile Sys,6005C64400,Guided MLRS Rocket (GMLRS),C,Advance Procurement (CY),,"30,913",,"30,000",,"43,156",,,,"43,156"
2032A,"Missile Procurement, Army",A,02,Other missiles,22,30,Anti-Tank/Assault Missile Sys,6060C65405,MLRS Reduced Range Practice Rockets (RRPR),A,Weapon System Cost,516,"10,334","2,508","30,230","4,002","32,339",,,"4,002","32,339"
2032A,"Missile Procurement, Army",A,02,Other missiles,23,30,Anti-Tank/Assault Missile Sys,6200C02901,High Mobility Artillery Rocket System (HIMARS,A,Weapon System Cost,22,"187,972",10,"79,387",6,"61,503",,,6,"61,503"
2032A,"Missile Procurement, Army",A,02,Other missiles,24,30,Anti-Tank/Assault Missile Sys,6472C98510,ARMY TACTICAL MSL SYS (ATACMS) - SYS SUM,A,Weapon System Cost,,"12,307",33,"113,280",,,,,,
2032A,"Missile Procurement, Army",A,02,Other missiles,25,30,Anti-Tank/Assault Missile Sys,6870C88001,LETHAL MINIATURE AERIAL MISSILE SYSTEM (LMAMS,A,Weapon System Cost,,"134,934",,,,,,,,
2032A,"Missile Procurement, Army",A,02,Other missiles,26,30,Anti-Tank/Assault Missile Sys,6872C91500,FAMILY OF LOW ALTITUDE UNMANNED SYSTEMS,A,Weapon System Cost,,,,"120,599",,,,,,
2032A,"Missile Procurement, Army",A,03,Modification of missiles,29,10,Modifications,0962C50700,Patriot Mods,A,Weapon System Cost,,"262,447",,"171,958",,"757,800",,,,"757,800"
2032A,"Missile Procurement, Army",A,03,Modification of missiles,32,10,Modifications,2684C20000,Stinger Mods,A,Weapon System Cost,,"55,448",,"75,146",,"428,935",,"77,000",,"505,935"
2032A,"Missile Procurement, Army",A,03,Modification of missiles,33,10,Modifications,2690CE8710,AVENGER MODS,A,Weapon System Cost,,"22,274",,"2,321",,,,,,
2032A,"Missile Procurement, Army",A,03,Modification of missiles,35,10,Modifications,6552C67500,MLRS Mods,A,Weapon System Cost,,"168,198",,"185,839",,"243,470",,,,"243,470"
2032A,"Missile Procurement, Army",A,03,Modification of missiles,36,10,Modifications,6580C67501,HIMARS Modifications,A,Weapon System Cost,,"76,266",,"49,581",,"54,005",,,,"54,005"
2032A,"Missile Procurement, Army",A,04,Spares and repair parts,38,10,Spares and Repair Parts,1242CA0250,Spares And Repair Parts,A,Weapon System Cost,,"6,573",,"6,695",,"6,651",,,,"6,651"
2032A,"Missile Procurement, Army",A,05,Support equipment and facilities,40,10,Support Equipment & Facilities,1242C93000,Air Defense Targets,A,Weapon System Cost,,"11,701",,"12,034",,"12,801",,,,"12,801"
2032A,"Missile Procurement, Army",A,06,AGILE PROFILE MANAGEMENT,44,10,Agile Portfolio Management,6000I46000,LAUNCHED EFFECTS FAMILY,A,Weapon System Cost,,,,,,"67,816",,"12,587",,"80,403"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,2,10,Tracked Combat Vehicles,2944G80819,Armored Multi Purpose Vehicle (AMPV),A,Weapon System Cost,57,"592,099",56,"381,510",86,"554,678",,,86,"554,678"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,4,10,Tracked Combat Vehicles,4872G84900,ASSAULT BREACHER VEHICLE (ABV),A,Weapon System Cost,,,,"5,681",,"4,079",,,,"4,079"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,5,10,Tracked Combat Vehicles,7181G80820,M10 BOOKER,A,Weapon System Cost,33,"386,635",32,"439,111",,"64,919",,,,"64,919"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,7,20,Modification of Tracked Combat Vehicles,0230GM0100,Stryker (Mod),A,Weapon System Cost,,,,"52,471",,,,,,
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,8,20,Modification of Tracked Combat Vehicles,0363G85200,Stryker Upgrade,A,Weapon System Cost,150,"676,121",38,"388,320",,"135,816",,,,"135,816"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,9,20,Modification of Tracked Combat Vehicles,1382GZ3300,BRADLEY FIRE SUPPORT TEAM (BFIST) VEHICLE,A,Weapon System Cost,,"5,232",,"7,255",,"4,684",,,,"4,684"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,10,20,Modification of Tracked Combat Vehicles,1678GZ2400,Bradley Program (MOD),A,Weapon System Cost,,"2,414,131",,"106,937",,"157,183",,,,"157,183"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,11,20,Modification of Tracked Combat Vehicles,2072GA0400,M109 FOV Modifications,A,Weapon System Cost,,"90,986",,"42,574",,"82,537",,,,"82,537"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,12,20,Modification of Tracked Combat Vehicles,2073GZ0410,Paladin Integrated Management (PIM),A,Weapon System Cost,57,"742,349",20,"568,599",10,"250,238",,,10,"250,238"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,13,20,Modification of Tracked Combat Vehicles,3700GA0570,IMPROVED RECOVERY VEHICLE (M88 HERCULES),A,Weapon System Cost,,"41,058",8,"141,657",8,"155,540",,,8,"155,540"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,17,20,Modification of Tracked Combat Vehicles,5225GZ3001,Joint Assault Bridge,A,Weapon System Cost,26,"159,804",28,"174,779",21,"132,637",,,21,"132,637"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,19,20,Modification of Tracked Combat Vehicles,6500GA0750,Abrams Upgrade Program,A,Weapon System Cost,100,"1,137,883",30,"902,185",30,"740,528",,,30,"740,528"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,19,20,Modification of Tracked Combat Vehicles,6500GA0750,Abrams Upgrade Program,B,Less: Advance Procurement (PY),,,,"-102,440",,,,,,
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,20,20,Modification of Tracked Combat Vehicles,6500GA0750,Abrams Upgrade Program,C,Advance Procurement (CY),,"102,440",,,,,,,,
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,01,Tracked combat vehicles,21,20,Modification of Tracked Combat Vehicles,6652GM1900,VEHICLE PROTECTION SYSTEMS (VPS),A,Weapon System Cost,,,,,,"107,833",,,,"107,833"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,24,10,Weapons & Other Combat Vehicles,0418GN0003,Personal Defense Weapon (Roll),A,Weapon System Cost,,150,,"4,869",,"1,002",,,,"1,002"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,25,10,Weapons & Other Combat Vehicles,2472G13000,M240 Medium Machine Gun (7.62mm),A,Weapon System Cost,,"17,542",,"5,503",,5,,,,5
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,27,10,Weapons & Other Combat Vehicles,5000GB2000,"Machine Gun, Cal .50 M2 Roll",A,Weapon System Cost,,"3,420",,3,,4,,,,4
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,28,10,Weapons & Other Combat Vehicles,6580G02200,Mortar Systems,A,Weapon System Cost,,"8,013",,"8,353",,"5,807",,,,"5,807"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,29,10,Weapons & Other Combat Vehicles,6659G08100,LOCATION & AZIMUTH DETERMINATION SYSTEM (LADS,A,Weapon System Cost,,"3,174",,"2,543",,"9,477",,,,"9,477"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,30,10,Weapons & Other Combat Vehicles,8181G01501,XM320 Grenade Launcher Module (GLM),A,Weapon System Cost,,"14,143",,"17,747",,,,,,
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,31,10,Weapons & Other Combat Vehicles,8190G01506,Precision Sniper Rifle,A,Weapon System Cost,,"7,748",,"5,910",,"1,853",,,,"1,853"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,33,10,Weapons & Other Combat Vehicles,8201G13501,Carbine,A,Weapon System Cost,,"8,571",,"8,003",,,,,,
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,34,10,Weapons & Other Combat Vehicles,8205G14510,Next Generation Squad Weapon,A,Weapon System Cost,,"295,439",,"367,292",,"365,155",,,,"365,155"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,35,10,Weapons & Other Combat Vehicles,8310G04700,Common Remotely Operated Weapons Station,A,Weapon System Cost,,"15,000",,,,,,,,
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,36,10,Weapons & Other Combat Vehicles,8635G15325,Handgun,A,Weapon System Cost,,32,,34,,7,,,,7
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,37,20,Mod of Weapons and Other Combat Veh,3000GB3000,MK-19 Grenade Machine Gun MODS,A,Weapon System Cost,,"10,000",,"10,531",,,,,,
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,38,20,Mod of Weapons and Other Combat Veh,3005GZ1700,M777 Mods,A,Weapon System Cost,,"19,878",,"25,998",,"2,429",,,,"2,429"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,42,20,Mod of Weapons and Other Combat Veh,3181GZ1500,Sniper Rifles Modifications,A,Weapon System Cost,,,,,,19,,,,19
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,43,20,Mod of Weapons and Other Combat Veh,3640GC0401,M119 Modifications,A,Weapon System Cost,,"13,097",,"12,823",,"4,642",,,,"4,642"
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,44,20,Mod of Weapons and Other Combat Veh,7054G02100,Mortar Modification,A,Weapon System Cost,,423,,,,,,,,
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,46,30,Support Equipment & Facilities,1862GL3200,Items Less Than $5.0m (WOCV-WTCV),A,Weapon System Cost,,"5,020",,"1,031",,469,,,,469
2033A,"Procurement of Weapons and Tracked Combat Vehicles, Army",A,02,Weapons and other combat vehicles,47,30,Support Equipment & Facilities,3270GC0050,Production Base Support (WOCV-WTCV),A,Weapon System Cost,,"115,024",,"109,591",,"104,993",,,,"104,993"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,1,30,Small/Medium Cal Ammunition,0132E00700,"CTG, 5.56MM, All Types",A,Weapon System Cost,,"94,230",,"84,090",,"128,283",,,,"128,283"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,2,30,Small/Medium Cal Ammunition,0612E02000,"CTG, 7.62MM, All Types",A,Weapon System Cost,,"228,589",,"41,519",,"62,157",,,,"62,157"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,3,30,Small/Medium Cal Ammunition,1065E06001,NEXT GENERATION SQUAD WEAPON AMMUNITION,A,Weapon System Cost,,"242,897",,"194,889",,"426,177",,,,"426,177"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,4,30,Small/Medium Cal Ammunition,1450EA3000,"CTG, Handgun, All Types",A,Weapon System Cost,,"6,420",,"6,461",,"7,750",,,,"7,750"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,5,30,Small/Medium Cal Ammunition,1722E08000,"CTG, .50 Cal, All Types",A,Weapon System Cost,,"321,652",,"50,002",,"78,199",,,,"78,199"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,6,30,Small/Medium Cal Ammunition,2382E08900,"CTG, 20mm, All Types",A,Weapon System Cost,,"15,425",,"7,012",,"25,773",,,,"25,773"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,7,30,Small/Medium Cal Ammunition,2650E08200,"CTG, 25mm, All Types",A,Weapon System Cost,,"249,612",,"24,246",,"22,324",,,,"22,324"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,8,30,Small/Medium Cal Ammunition,2938ER8120,"CTG, 30mm, All Types",A,Weapon System Cost,,"165,022",,"46,482",,"100,392",,,,"100,392"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,9,30,Small/Medium Cal Ammunition,3222ER8001,"CTG, 40mm, All Types",A,Weapon System Cost,,"551,842",,"150,540",,"131,432",,,,"131,432"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,11,30,Small/Medium Cal Ammunition,8030E80010,"CTG, 50MM, All Types",A,Weapon System Cost,,"28,000",,"20,006",,"42,131",,,,"42,131"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,12,33,Mortar Ammunition,0050E89600,"60MM Mortar, All Types",A,Weapon System Cost,,"35,160",,"29,853",,"38,114",,,,"38,114"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,13,33,Mortar Ammunition,3584E76000,"81MM Mortar, All Types",A,Weapon System Cost,,"40,562",,"40,442",,"41,786",,,,"41,786"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,14,33,Mortar Ammunition,6780E25500,"120MM Mortar, All Types",A,Weapon System Cost,,"110,689",,"111,870",,"123,144",,,,"123,144"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,15,35,Tank Ammunition,1120E22203,"Cartridges, Tank, 105MM And 120MM, All Types",A,Weapon System Cost,,"508,415",,"334,862",,"440,152",,,,"440,152"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,16,37,Artillery Ammunition,0530E15101,"Artillery Cartridges, 75MM & 105MM, All Types",A,Weapon System Cost,,"49,270",,"22,957",,"80,780",,,,"80,780"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,17,37,Artillery Ammunition,3102E89500,"ARTILLERY PROJECTILE, 155MM, All Types",A,Weapon System Cost,,"1,987,520",,"171,657",,"218,877",,,,"218,877"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,19,37,Artillery Ammunition,6635F90100,PRECISION ARTILLERY MUNITIONS,A,Weapon System Cost,,"42,919",,"57,318",,"28,995",,,,"28,995"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,20,37,Artillery Ammunition,8750E27501,"Artillery Propellants, Fuzes and Primers, All",A,Weapon System Cost,,"2,469,375",,"155,365",,"168,737",,,,"168,737"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,21,43,Mines,0442EA0800,"Mines & Clearing Charges, All Types",A,Weapon System Cost,,"70,682",,"56,032",,"42,748",,,,"42,748"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,22,43,Mines,0612E76740,Close Terrain Shaping Obstacle,A,Weapon System Cost,,"17,410",,"15,303",,"7,860",,,,"7,860"
2034A,"Procurement of Ammunition, Army",A,01,Ammunition,23,43,Mines,7920E72501,"MINE, AT, VOLCANO, All Types",A,Weapon System Cost,,,,501,,,,,,
