Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
140D0425F0481,5/6/2025,"BERING GLOBAL SOLUTIONS, LLC",305952.94,"U.S. AIR FORCE LAVATORY SERVICE TRUCK QUANTITY (1), DELIVERY ORDER NO. 6",,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,,FIRM FIXED PRICE,,F3QCDK AFLCMC ROZ SPT EQUIP VEH,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336120 HEAVY DUTY TRUCK MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,5/6/2024,1/5/2026,5/6/2025,CONT_AWD_140D0425F0481_1406_140D8020D0014_1406,5/6/2025,140D04
47QMCA25F0007,10/25/2024,A3 SYSTEMS CORPORATION,69137.69,MULTIPLE AWARD SCHEDULES (MAS),47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,GSA/FAS AUTOMOTIVE CENTER,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,10/25/2024,10/10/2025,10/30/2024,CONT_AWD_47QMCA25F0007_4732_47QSWA18D008X_4732,10/25/2024,47QMCA
47QMCA25F0008,10/25/2024,A3 SYSTEMS CORPORATION,69137.69,MULTIPLE AWARD SCHEDULES (MAS),47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,GSA/FAS AUTOMOTIVE CENTER,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,10/25/2024,10/10/2025,10/30/2024,CONT_AWD_47QMCA25F0008_4732_47QSWA18D008X_4732,10/25/2024,47QMCA
47QMCA25F0009,10/25/2024,A3 SYSTEMS CORPORATION,69137.69,MULTIPLE AWARD SCHEDULES (MAS),47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,GSA/FAS AUTOMOTIVE CENTER,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,10/25/2024,10/10/2025,10/30/2024,CONT_AWD_47QMCA25F0009_4732_47QSWA18D008X_4732,10/25/2024,47QMCA
47QMCA25F000A,10/25/2024,A3 SYSTEMS CORPORATION,69137.69,MULTIPLE AWARD SCHEDULES (MAS),47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,GSA/FAS AUTOMOTIVE CENTER,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,10/25/2024,10/10/2025,10/30/2024,CONT_AWD_47QMCA25F000A_4732_47QSWA18D008X_4732,10/25/2024,47QMCA
47QMCA25F0Y8F,9/8/2025 0:00,A3 SYSTEMS CORPORATION,101912,MULTIPLE AWARD SCHEDULES (MAS),47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,GSA/FAS AUTOMOTIVE CENTER,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,9/8/2025 0:00,3/7/2026 0:00,9/9/2025,CONT_AWD_47QMCA25F0Y8F_4732_47QSWA18D008X_4732,9/8/2025 0:00,47QMCA
47QMCA25F0Y8G,9/8/2025 0:00,A3 SYSTEMS CORPORATION,101912,MULTIPLE AWARD SCHEDULES (MAS),47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,GSA/FAS AUTOMOTIVE CENTER,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,9/8/2025 0:00,3/7/2026 0:00,9/9/2025,CONT_AWD_47QMCA25F0Y8G_4732_47QSWA18D008X_4732,9/8/2025 0:00,47QMCA
47QMCA25F0Y92,9/8/2025 0:00,A3 SYSTEMS CORPORATION,96371,MULTIPLE AWARD SCHEDULES (MAS),47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,GSA/FAS AUTOMOTIVE CENTER,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,9/8/2025 0:00,3/7/2026 0:00,9/9/2025,CONT_AWD_47QMCA25F0Y92_4732_47QSWA18D008X_4732,9/8/2025 0:00,47QMCA
47QMCA25F0Y93,9/8/2025 0:00,A3 SYSTEMS CORPORATION,96371,MULTIPLE AWARD SCHEDULES (MAS),47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,GSA/FAS AUTOMOTIVE CENTER,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,9/8/2025 0:00,3/7/2026 0:00,9/9/2025,CONT_AWD_47QMCA25F0Y93_4732_47QSWA18D008X_4732,9/8/2025 0:00,47QMCA
47QMCA25F0Y94,9/8/2025 0:00,A3 SYSTEMS CORPORATION,95388,MULTIPLE AWARD SCHEDULES (MAS),47QSMD20R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,999,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,,GSA/FAS AUTOMOTIVE CENTER,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,General Services Administration,Federal Acquisition Service,DELIVERY ORDER,9/8/2025 0:00,3/7/2026 0:00,9/9/2025,CONT_AWD_47QMCA25F0Y94_4732_47QSWA18D008X_4732,9/8/2025 0:00,47QMCA
