Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
15DDLA25P00000014,2025-02-20,AARDVARK,22950.0,"TITLE: AARDVARK - COMM CABLE - $22,950.00 - SRT REQUESTOR: JOSHUA D RAMIREZ DELIVERY DATE: 03/15/2025",221,26,15-29,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,LOS ANGELES CA DIVISION OFFICE,2540 VEHICULAR FURNITURE AND ACCESSORIES,315990 APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,Department of Justice,Drug Enforcement Administration,PURCHASE ORDER,2025-02-21,2025-09-30,2025-02-20,CONT_AWD_15DDLA25P00000014_1524_-NONE-_-NONE-,2025-02-20,15DDLA
15UBAS25F00000488,2025-07-09,EMERGENCY TECHNOLOGY INC,336167.18,"SHR0003 LMP2353 AHW6204TA ISSS0001 SWH0559PI LMP2614 LMP2650 LMP2645 LMP4001 LMP2648 LMP2646 LMP2647 LMP2352 LMP2656 LMP2453-25 BKT1263 LMP2652 LMPCH21STD-24 SPK0022PI LMPFD55STD-25 LMP2649 LMPFD55BLUE-25 FPI BASTROP, TX",33,-24,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,,FIRM FIXED PRICE,,"FEDERAL PRISON INDUSTRIES, INC",2540 VEHICULAR FURNITURE AND ACCESSORIES,336320 MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,Department of Justice,Federal Prison Industries / Unicor,DELIVERY ORDER,2025-07-09,2025-08-11,2025-07-11,CONT_AWD_15UBAS25F00000488_1542_15UC0C22D00001728_1542,2025-07-09,15UBAS
15UBAS25F00000490,2025-07-09,"TROY SHEET METAL WORKS, INC.",188784.0,"KITCH24-24 MNT0339 KITFD55RP7-25 KITFD55-25 FPI BASTROP, TX",50,-7,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,,FIRM FIXED PRICE,,"FEDERAL PRISON INDUSTRIES, INC",2540 VEHICULAR FURNITURE AND ACCESSORIES,"337215 SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",Department of Justice,Federal Prison Industries / Unicor,DELIVERY ORDER,2025-07-09,2025-08-28,2025-07-11,CONT_AWD_15UBAS25F00000490_1542_15UC0C21D00000995_1542,2025-07-09,15UBAS
15UBAS25F00000503,2025-07-09,"WESTIN AUTOMOTIVE PRODUCTS, INC.",50901.3,"AHW1291-25 AUT5972-25 FPI BASTROP, TX",31,-26,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,,FIRM FIXED PRICE,,"FEDERAL PRISON INDUSTRIES, INC",2540 VEHICULAR FURNITURE AND ACCESSORIES,336390 OTHER MOTOR VEHICLE PARTS MANUFACTURING,Department of Justice,Federal Prison Industries / Unicor,DELIVERY ORDER,2025-07-09,2025-08-09,2025-08-07,CONT_AWD_15UBAS25F00000503_1542_15UC0C22D00001921_1542,2025-07-09,15UBAS
15UBAS25F00000506,2025-07-16,ARGENT WORLD SERVICES LLC,89725.53,"CRV0486 AUT1062 FPI BASTROP, TX",42,-8,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,,FIRM FIXED PRICE,,"FEDERAL PRISON INDUSTRIES, INC",2540 VEHICULAR FURNITURE AND ACCESSORIES,336390 OTHER MOTOR VEHICLE PARTS MANUFACTURING,Department of Justice,Federal Prison Industries / Unicor,DELIVERY ORDER,2025-07-16,2025-08-27,2025-07-17,CONT_AWD_15UBAS25F00000506_1542_15UC0C23D00001691_1542,2025-07-16,15UBAS
15UBAS25F00000532,2025-08-04,BOSS INNOVATION & MARKETING INC,15372.04,"BOX10 STORAGE-BOX-TOP-LOAD-10""WX8""DX5""H BOX05 STORAGE-BOX-37X14X10 BOX14 STORAGE-BOX-40""WX34""DX14""H",42,11,1-14,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,,FIRM FIXED PRICE,,"FEDERAL PRISON INDUSTRIES, INC",2540 VEHICULAR FURNITURE AND ACCESSORIES,332439 OTHER METAL CONTAINER MANUFACTURING,Department of Justice,Federal Prison Industries / Unicor,DELIVERY ORDER,2025-08-04,2025-09-15,2025-08-05,CONT_AWD_15UBAS25F00000532_1542_15UC0C23D00002031_1542,2025-08-04,15UBAS
15UBAS25F00000546,2025-08-21,OWENS PRODUCTS INC,31267.22,"TOL9685, TOOL,BOX,UTILITY,CHEST",65,51,45-60,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,,FIRM FIXED PRICE,,"FEDERAL PRISON INDUSTRIES, INC",2540 VEHICULAR FURNITURE AND ACCESSORIES,336390 OTHER MOTOR VEHICLE PARTS MANUFACTURING,Department of Justice,Federal Prison Industries / Unicor,DELIVERY ORDER,2025-08-21,2025-10-25,2025-08-22,CONT_AWD_15UBAS25F00000546_1542_15UC0C21D00001401_1542,2025-08-21,15UBAS
15UBAS25F00000547,2025-08-21,EMERGENCY TECHNOLOGY INC,112161.92,"LMP2453-25, FULL-VSR-LED-LIGHT,TD,R/B,FD-F150-25 LMP0049, 4"",STD,MNT,HD,LIGHT,SINGLE,COLOR,BLUE LMPFD55STD-25, LIGHTBAR,DUAL-COLOR,W/ADV,FD-F150-25 LMPFD55BLUE-25, LIGHTBAR,BLUE-DUAL,W/ADV,FD-F150-25",35,21,15-29,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,,FIRM FIXED PRICE,,"FEDERAL PRISON INDUSTRIES, INC",2540 VEHICULAR FURNITURE AND ACCESSORIES,336320 MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,Department of Justice,Federal Prison Industries / Unicor,DELIVERY ORDER,2025-08-21,2025-09-25,2025-08-22,CONT_AWD_15UBAS25F00000547_1542_15UC0C22D00001728_1542,2025-08-21,15UBAS
15UBAS25F00000549,2025-08-21,BOSS INNOVATION & MARKETING INC,65490.0,"AUT2774, SINGLE-RIFLE-RACK,BLAC-RAC",29,15,15-29,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,1,FIRM FIXED PRICE,,"FEDERAL PRISON INDUSTRIES, INC",2540 VEHICULAR FURNITURE AND ACCESSORIES,332999 ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,Department of Justice,Federal Prison Industries / Unicor,DELIVERY ORDER,2025-08-21,2025-09-19,2025-08-22,CONT_AWD_15UBAS25F00000549_1542_47QSWA22D00AJ_4732,2025-08-21,15UBAS
15UBAS25F00000554,2025-08-19,911 CIRCUITS LLC,117102.0,"CH27V2, 27-CIR-BOX-HIGH-PROFILE-WIRE-HARNESS",48,32,30-44,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,,FIRM FIXED PRICE,,"FEDERAL PRISON INDUSTRIES, INC",2540 VEHICULAR FURNITURE AND ACCESSORIES,336320 MOTOR VEHICLE ELECTRICAL AND ELECTRONIC EQUIPMENT MANUFACTURING,Department of Justice,Federal Prison Industries / Unicor,DELIVERY ORDER,2025-08-19,2025-10-06,2025-08-19,CONT_AWD_15UBAS25F00000554_1542_15UC0C21D00000263_1542,2025-08-19,15UBAS
