Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
15F06724F0000049,11/16/2023,SIKORSKY AIRCRAFT CORPORATION,9611419.5,FAU/FY24/Q1/ARMY TOTAL ASSURANCE PACKAGE,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,FBI-JEH,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,488190 OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,Department of Justice,Federal Bureau of Investigation,DELIVERY ORDER,12/1/2023,5/31/2025,3/10/2025,CONT_AWD_15F06724F0000049_1549_15F06720D0000035_1549,11/16/2023,15F067
15M10224PA4700303,8/4/2024,CAMP SYSTEMS INTERNATIONAL INC.,43744,IOD-ASB: AIRCRAFT MAINTENANCE MANAGEMENT SYSTEMS   CONTRACT FILE: APC-FY24-000260,15M10224QA4700158,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,"U.S. DEPT OF JUSTICE, USMS",4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Justice,U.S. Marshals Service,PURCHASE ORDER,9/1/2024,8/31/2026,6/24/2025,CONT_AWD_15M10224PA4700303_1544_-NONE-_-NONE-,8/4/2024,15M102
191NLE24P0100,9/17/2024,GREENWOOD GROUP INC,892484.57,CESSNA 206 AND 172 PARTS,191NLE24Q0098,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,7,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,BUREAU OF INTERNATIONAL NARCOTICS,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of State,Department of State,PURCHASE ORDER,9/17/2024,3/17/2025,4/1/2025,CONT_AWD_191NLE24P0100_1900_-NONE-_-NONE-,9/17/2024,191NLE
191NLE24P0123,9/27/2024,TLC AEROSPACE SERVICES CORP,1055143.37,BELL 206 SPARE PARTS,191NLE24Q0088,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,4,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,BUREAU OF INTERNATIONAL NARCOTICS,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of State,Department of State,PURCHASE ORDER,9/25/2024,3/25/2025,6/6/2025,CONT_AWD_191NLE24P0123_1900_-NONE-_-NONE-,9/27/2024,191NLE
19GE5024P0006,1/29/2024,US21 INC,1236693.96,UAS FOR INL KYIV,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,7,FIRM FIXED PRICE,NO SET ASIDE USED.,BUREAU OF EUROPEAN AND EURASIAN AFF,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336411 AIRCRAFT MANUFACTURING,Department of State,Department of State,PURCHASE ORDER,1/29/2024,4/30/2024,3/11/2024,CONT_AWD_19GE5024P0006_1900_-NONE-_-NONE-,1/29/2024,19GE50
19SL2024P0071,11/20/2023,MISCELLANEOUS FOREIGN AWARDEES,21435.16,GSO EXPENDABLE STOCK REPLENISHMENT PREVENTIVE MAINTENANCE,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIXED PRICE WITH ECONOMIC PRICE ADJUSTMENT,NO SET ASIDE USED.,BUREAU OF AFRICAN AFFAIRS,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,423860 TRANSPORTATION EQUIPMENT AND SUPPLIES (EXCEPT MOTOR VEHICLE) MERCHANT WHOLESALERS,Department of State,Department of State,PURCHASE ORDER,11/20/2023,11/20/2023,12/4/2023,CONT_AWD_19SL2024P0071_1900_-NONE-_-NONE-,11/20/2023,19SL20
47QSSC24P1B52,7/8/2024,PACIFIC POWER SOURCE INC,53470,"(QTY: 2) 320LSXM/M23006 ADDITIONALLY, M23006 1) INSTALLS A FSL4-FR TYPE FEMALE RECEPTACLE IN A JUNCTION BOX . 2) INSTALLS A ''SOFT START'' SLOW TURN ON CIRCUIT TO LIMIT INRUSH CURRENT. 3) PROVIDES CUSTOM FIRMWARE TO CONTROL AC OUTPUT VOLTAGE. 4) INST",,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,10,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,"GSA/FAS/GSS/QSCB, SUPPLY CHAIN MANAGEMENT CONTRACTING DIVISION",4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,334515 INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,General Services Administration,Federal Acquisition Service,PURCHASE ORDER,7/8/2024,9/26/2024,7/9/2024,CONT_AWD_47QSSC24P1B52_4732_-NONE-_-NONE-,7/8/2024,47QSSC
6973GH24F00240,12/26/2023,ROLLS-ROYCE DEUTSCHLAND LTD & CO KG,244452.72,OPT 3 - ROLLS ROYCE CORPORATE CARE,,ONLY ONE SOURCE,NOT COMPETED,,LABOR HOURS,,FAA,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,488190 OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,Department of Transportation,Federal Aviation Administration,DELIVERY ORDER,12/26/2023,12/31/2023,6/20/2025,CONT_AWD_6973GH24F00240_6920_6973GH21D00007_6920,12/26/2023,6973GH
6973GH24P04394,7/30/2024,PHILLIPS CORPORATION,266588.8,PROCUREMENT OF OMAX 55100 ABRASIVE JET,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,FAA,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,333248 ALL OTHER INDUSTRIAL MACHINERY MANUFACTURING,Department of Transportation,Federal Aviation Administration,PURCHASE ORDER,7/30/2024,9/24/2025,9/25/2024,CONT_AWD_6973GH24P04394_6920_-NONE-_-NONE-,7/30/2024,6973GH
70Z03824FD0000029,6/6/2024,TESTVONICS INC,524509,PURCHASE AIR DATA PRESSURE TEST SETS,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,"334513 INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,6/6/2024,12/31/2024,6/6/2024,CONT_AWD_70Z03824FD0000029_7008_70Z03820DE0000002_7008,6/6/2024,70Z038
