Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
15A00025FAQA00200,7/22/2025,ARMAG CORP,78467.5,"1) 3 INDOOR EXPLOSIVES MAGAZINES FOR FT MYERS OFFICE 36""X24""X36"", TYP 2 CLASS ABC.  2) 1 OUTDOOR EXPLOSIVES MAGAZINE FOR ORLANDO LOCATION 8'X8'X8' TYP 2 W/ATTCHED 18""X18""X18"" TYPE 4 CLASS BC ATF SPEC CAP BOX ATTCHD",,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,ATF,1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,332311 PREFABRICATED METAL BUILDING AND COMPONENT MANUFACTURING,Department of Justice,"Bureau of Alcohol, Tobacco, Firearms and Explosives Acquisition and Property Management Division",DELIVERY ORDER,7/22/2025,12/31/2025,7/25/2025,CONT_AWD_15A00025FAQA00200_1560_47QSWA22D002S_4732,7/22/2025,15A000
80NSSC25PA463,1/27/2025,ARMAG CORP,28203.06,ARMAG CORPORATION INDOOR MAGAZINE CABINET,80NSSC25892139Q,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NASA SHARED SERVICES CENTER,1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,"337215 SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",National Aeronautics and Space Administration,National Aeronautics and Space Administration,PURCHASE ORDER,1/27/2025,3/24/2025,1/27/2025,CONT_AWD_80NSSC25PA463_8000_-NONE-_-NONE-,1/27/2025,80NSSC
SPRMM125FWN00,4/29/2025,DEVAL LIFE CYCLE SUPPORT LLC,276000,"DOLLY,HDLG MK24-1",,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,NAVSUP WEAPON SYSTEMS SUPPORT MECH,1398 SPECIALIZED AMMUNITION HANDLING AND SERVICING EQUIPMENT,332439 OTHER METAL CONTAINER MANUFACTURING,Department of Defense,Department of the Navy,DELIVERY ORDER,4/29/2025,8/17/2026,5/1/2025,CONT_AWD_SPRMM125FWN00_9700_SPRMM121DWN01_9700,4/29/2025,SPRMM1
