Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
140FS223F0181,2023-08-30,"MATTRACKS, INC.",67809.42,TRACTOR ASSIST 5000 SERIES,244,-485,Ended,GSARFQ1654031,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,1,FIRM FIXED PRICE,,"FWS, SAT TEAM 2","2530 VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",336390 OTHER MOTOR VEHICLE PARTS MANUFACTURING,Department of the Interior,U.S. Fish and Wildlife Service,DELIVERY ORDER,2023-08-30,2024-04-30,2023-08-30,CONT_AWD_140FS223F0181_1448_47QMCA18D000J_4732,2023-08-30,140FS2
15B61923P00000137,2023-07-26,"MOTOR COACH INDUSTRIES, INC",507.04,BUS REPAIR PARTS,36,-728,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,FCI HERLONG,"2530 VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",332999 ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,Department of Justice,Federal Prison System / Bureau of Prisons,PURCHASE ORDER,2023-07-26,2023-08-31,2023-07-26,CONT_AWD_15B61923P00000137_1540_-NONE-_-NONE-,2023-07-26,15B619
19HA7023P0390,2023-03-10,MISCELLANEOUS FOREIGN AWARDEES,12519.08,ICASS: STOCK OF SPARE PARTS FOR VEHICLES,21,-881,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,NO SET ASIDE USED.,BUREAU OF WESTERN HEMISPHERE AFFAIR,"2530 VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",336330 MOTOR VEHICLE STEERING AND SUSPENSION COMPONENTS (EXCEPT SPRING) MANUFACTURING,Department of State,Department of State,PURCHASE ORDER,2023-03-10,2023-03-31,2023-06-19,CONT_AWD_19HA7023P0390_1900_-NONE-_-NONE-,2023-03-10,19HA70
19HA7023P0554,2023-03-23,MISCELLANEOUS FOREIGN AWARDEES,10327.79,VEHICULAR BRAKE PADS,18,-871,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,NO SET ASIDE USED.,BUREAU OF WESTERN HEMISPHERE AFFAIR,"2530 VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",336340 MOTOR VEHICLE BRAKE SYSTEM MANUFACTURING,Department of State,Department of State,PURCHASE ORDER,2023-03-23,2023-04-10,2024-09-06,CONT_AWD_19HA7023P0554_1900_-NONE-_-NONE-,2023-03-23,19HA70
19HA7023P0885,2023-08-07,MISCELLANEOUS FOREIGN AWARDEES,11118.0,PARTS FOR SCO VEHICLES,4,-748,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,NO SET ASIDE USED.,AMERICAN EMBASSY PORT-AU-PRINCE,"2530 VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",336330 MOTOR VEHICLE STEERING AND SUSPENSION COMPONENTS (EXCEPT SPRING) MANUFACTURING,Department of State,Department of State,PURCHASE ORDER,2023-08-07,2023-08-11,2023-08-22,CONT_AWD_19HA7023P0885_1900_-NONE-_-NONE-,2023-08-07,19HA70
19RS5023P0336,2023-05-31,"HUTCHINSON INDUSTRIES, INC",13909.5,5 WHEEL ASSEMBLIES FOR AMBASSADOR'S VEHICLE,33,-787,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,BUREAU OF EUROPEAN AND EURASIAN AFF,"2530 VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",326211 TIRE MANUFACTURING (EXCEPT RETREADING),Department of State,Department of State,PURCHASE ORDER,2023-05-31,2023-07-03,2023-06-01,CONT_AWD_19RS5023P0336_1900_-NONE-_-NONE-,2023-05-31,19RS50
19UP3023P1116,2023-07-27,GEEBEE GARMENTS FZE,28684.0,PR11784514: ICASS: WHEELS FOR ARMORED GOVS,64,-699,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,4,FIRM FIXED PRICE,NO SET ASIDE USED.,BUREAU OF EUROPEAN AND EURASIAN AFF,"2530 VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",336390 OTHER MOTOR VEHICLE PARTS MANUFACTURING,Department of State,Department of State,PURCHASE ORDER,2023-07-27,2023-09-29,2023-08-03,CONT_AWD_19UP3023P1116_1900_-NONE-_-NONE-,2023-07-27,19UP30
692M1523P00112,2023-09-14,"BIG B MANUFACTURING, INC.",52485.0,PROCUREMENT FOR A 52-INCH STEEL WHEEL INNER HUB AND 30 EXTRA SPECIAL STUDS FOR HEAVY VEHICLE SIMULATOR.,214,-500,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,2,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,FAA,"2530 VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",332710 MACHINE SHOPS,Department of Transportation,Federal Aviation Administration,PURCHASE ORDER,2023-09-14,2024-04-15,2023-09-14,CONT_AWD_692M1523P00112_6920_-NONE-_-NONE-,2023-09-14,692M15
70Z03823FR0000023,2022-12-19,TRAKKA USA LLC,113.1,PROCUREMENT OF VARIOUS PARTS TO BE USED ON THE MH-60T AIRCRAFT.,1,-982,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),"2530 VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,2022-12-19,2022-12-20,2023-11-01,CONT_AWD_70Z03823FR0000023_7008_70Z03820DJ0000007_7008,2022-12-19,70Z038
70Z03823FR0000025,2023-01-03,TRAKKA USA LLC,2583.38,PROCUREMENT OF VARIOUS PARTS TO BE USED ON THE MH-60T AIRCRAFT.,95,-873,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),"2530 VEHICULAR BRAKE, STEERING, AXLE, WHEEL, AND TRACK COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,2023-01-03,2023-04-08,2024-05-31,CONT_AWD_70Z03823FR0000025_7008_70Z03820DJ0000007_7008,2023-01-03,70Z038
