Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
FA233024CB001,2023-11-03,"INDRA AIR TRAFFIC, INC.",1034523.97,"JORDAN FIXED-BASE TACTICAL AIR NAVIGATION SYSTEM, RADOME, AND TEST EQUIPMENT FOR THE ROYAL JORDANIAN AIR FORCE",579,-92,Ended,FA873023RB001,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F2BDDL AFLCMC HBAN,1710 AIRCRAFT LANDING EQUIPMENT,"334511 SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,2023-11-01,2025-06-02,2025-03-24,CONT_AWD_FA233024CB001_9700_-NONE-_-NONE-,2023-11-03,FA2330
FA233024FB012,2024-04-25,"L3HARRIS TECHNOLOGIES, INC",17695.0,FMS POLAND PL-D-QAJ RETURN BEYOND REPAIR INTERROGATORS TO THE PAF,0,-404,Ended,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,F2BDDL AFLCMC HBAN,1710 AIRCRAFT LANDING EQUIPMENT,"334511 SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",Department of Defense,Department of the Air Force,DELIVERY ORDER,2024-07-25,2024-07-25,2024-07-24,CONT_AWD_FA233024FB012_9700_FA873023D0002_9700,2024-04-25,FA2330
FA282324P0074,2024-08-08,"CURTISS-WRIGHT FLOW CONTROL SERVICE, LLC",192230.75,MB 100 RESET KIT,357,-33,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F1T2BR 96 CEN PROJECTS,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,2024-08-08,2025-07-31,2025-05-28,CONT_AWD_FA282324P0074_9700_-NONE-_-NONE-,2024-08-08,FA2823
FA441924P0069,2024-09-30,"CURTISS-WRIGHT FLOW CONTROL SERVICE, LLC",47002.71,SPARE PARTS FOR THE BAK-12 SYSTEM INSTALLED AT EBBING ANG,180,-161,Ended,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F1T0AM 33 FW FMA,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,2024-09-26,2025-03-25,2025-07-10,CONT_AWD_FA441924P0069_9700_-NONE-_-NONE-,2024-09-30,FA4419
FA481924F0006,2024-01-05,"HOLMES TOOL AND ENGINEERING, INC.",481640.0,"THE CONTRACTOR SHALL FURNISH ALL REQUIRED PARTS, EQUIPMENT, MATERIAL, AND LABOR TO PROVIDE THE FOLLOWING ITEMS LISTED IN THE LOM IN ACCORDANCE WITH (IAW) ALL APPLICABLE CODES, SPECIFICATIONS, AND INDUSTRY/FEDERAL STANDARDS TO AFCEC/COMX (CEMIRT)",91,-516,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,2,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,AFCEC EAST CEMR,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,BPA CALL,2024-01-04,2024-04-04,2025-03-24,CONT_AWD_FA481924F0006_9700_FA481921A0005_9700,2024-01-05,FA4819
FA481924P0007,2023-12-19,"UNIPAK AVIATION, LLC",53750.0,PISTON ASSEMBLY BAK12 AIRCRAFT ARRESTING BARRIER PN 52B19991 REV B EACH 1000,214,-401,Ended,FA481924QA006,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,5,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,AFCEC EAST CEMR,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,2023-12-27,2024-07-28,2024-07-14,CONT_AWD_FA481924P0007_9700_-NONE-_-NONE-,2023-12-19,FA4819
FA487724P0061,2024-06-12,MILITARY AIRLIFT EXPERTS LLC (MILAIRX LLC),154784.0,55 RGS HAS REQUESTED 8 AIRLIFT SHORING KITS FOR THEIR HH-60W HELICOPTERS IAW THE PROVIDED SALIENT CHARACTERISTICS DOCUMENT.,137,-308,Ended,FA487724QA183,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,563 MXS,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,2024-06-14,2024-10-29,2024-12-31,CONT_AWD_FA487724P0061_9700_-NONE-_-NONE-,2024-06-12,FA4877
FA527024P0067,2024-06-10,"GLOBAL DATA SPECIALISTS, LLC",68245.0,PHOENIX AIRCRAFT ARRESTING CONTROL SYSTEM,0,-414,Ended,FA527024QA060,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F2H3A2 18 CES,1710 AIRCRAFT LANDING EQUIPMENT,332312 FABRICATED STRUCTURAL METAL MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,2024-07-15,2024-07-15,2025-06-05,CONT_AWD_FA527024P0067_9700_-NONE-_-NONE-,2024-06-10,FA5270
FA561324P0130,2024-09-04,HPS FABRICATIONS INC,208000.0,10 BAK-12 BASES INCLUDING SHIPPING TO GERMANY.,140,-223,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,7,FIRM FIXED PRICE,NO SET ASIDE USED.,435TH,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,2024-09-04,2025-01-22,2025-06-05,CONT_AWD_FA561324P0130_9700_-NONE-_-NONE-,2024-09-04,FA5613
FA805124P0005,2024-05-10,GENERAL METALS POWDER CO,549348.0,BARRIER ARRESTING KIT (BAK)-12 BRAKE REPAIR KITS,199,-290,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,4,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,AFCEC EAST CEMR,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,2024-05-01,2024-11-16,2024-05-17,CONT_AWD_FA805124P0005_9700_-NONE-_-NONE-,2024-05-10,FA8051
