Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
12405B23P0276,7/21/2023,"INSPIRED FLIGHT TECHNOLOGIES, INC.",4250,INTEGRATION FOR THE KLAU SYSTEM,,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,USDA ARS SEA NSL WQER,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336411 AIRCRAFT MANUFACTURING,Department of Agriculture,Agricultural Research Service,PURCHASE ORDER,7/21/2023,9/21/2023,7/21/2023,CONT_AWD_12405B23P0276_12H2_-NONE-_-NONE-,7/21/2023,12405B
47QFWA23C0012,9/28/2023,RAYTHEON COMPANY,15525570.04,INTELLIGENT ELECTRONICS UNIT IEU,47QFWA22R0011,ONLY ONE SOURCE,NOT COMPETED,1,COST PLUS FIXED FEE,NO SET ASIDE USED.,NGB NGB A5,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336411 AIRCRAFT MANUFACTURING,Department of Defense,Department of the Air Force,DEFINITIVE CONTRACT,9/28/2023,9/27/2025,6/23/2025,CONT_AWD_47QFWA23C0012_4732_-NONE-_-NONE-,9/28/2023,47QFWA
FA812623P0026,12/8/2022,SOUTHWEST RESEARCH INSTITUTE,186082,IMPROVED ELECTRONIC PROCESSING UNIT (IEPU) UPGRADE,FA812622Q0080,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3YCEB OC ALC OBC,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Defense,Department of the Air Force,PURCHASE ORDER,12/8/2022,4/5/2024,7/14/2023,CONT_AWD_FA812623P0026_9700_-NONE-_-NONE-,12/8/2022,FA8126
FA821323F2725,9/28/2023,RAYTHEON COMPANY,2904777.4,ADVANCED CONCEPT EJECTION SEAT SEQUENCER PHASE 1 EFFORTS TO OVERCOME OBSOLESCENCE.,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,1,COST PLUS FIXED FEE,,F2DCDE AFLCMC EBH,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,332993 AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,9/28/2023,9/27/2024,6/25/2024,CONT_AWD_FA821323F2725_9700_FA865621DA004_9700,9/28/2023,FA8213
FA850423F0035,9/5/2023,IACCESS TECHNOLOGIES INC,9022859.69,"ALR-69, MACM",,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,1,FIRM FIXED PRICE,,F3QCCC AFLCMC WLN,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336411 AIRCRAFT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,9/5/2023,5/30/2025,5/2/2025,CONT_AWD_FA850423F0035_9700_FA850920D0003_9700,9/5/2023,FA8504
FA850423P0001,10/14/2022,CHEROKEE NATION AEROSPACE & DEFENSE LLC,387028.88,AG-GPS PHASE I,FA850422R0011,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3QCCC AFLCMC WLN,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336411 AIRCRAFT MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,10/14/2022,9/1/2024,2/27/2023,CONT_AWD_FA850423P0001_9700_-NONE-_-NONE-,10/14/2022,FA8504
FA850923F0028,7/20/2023,"SSAI OF GEORGIA, LLC",10158505.36,MCJ COMMMANDO II SMS SUPER KITS,FA850923R0001,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,1,FIRM FIXED PRICE,,F3QCBB AFLCMC WIU,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336411 AIRCRAFT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,7/20/2023,1/17/2026,8/19/2025,CONT_AWD_FA850923F0028_9700_FA850920D0011_9700,7/20/2023,FA8509
FA930223F0039,5/17/2023,"L3 TECHNOLOGIES, INC.",4176,TELEMETRY SECURITY PRODUCTS,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,MISSILE DEFENSE AGENCY (MDA),K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,334220 RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,Department of Defense,Missile Defense Agency,DELIVERY ORDER,5/17/2023,8/31/2023,4/18/2025,CONT_AWD_FA930223F0039_9700_FA930220D0012_9700,5/17/2023,FA9302
FA940123P0002,11/1/2022,"WHITE'S AIRCRAFT SALVAGE AND PARTS, LLC",35000,AIRCRAFT DISMANTLING,FA940122QZ011,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,58 TRS,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,488190 OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,Department of Defense,Department of the Air Force,PURCHASE ORDER,11/1/2022,2/2/2023,12/14/2022,CONT_AWD_FA940123P0002_9700_-NONE-_-NONE-,11/1/2022,FA9401
N0001923F0002,12/16/2022,LOCKHEED MARTIN CORPORATION,2039104920,JPO F-35 CY23 MODS AND RETROFIT PROGRAM SUPPORT,,ONLY ONE SOURCE,NOT COMPETED,1,COST PLUS FIXED FEE,NO SET ASIDE USED.,NAVAL AIR SYSTEMS COMMAND,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336411 AIRCRAFT MANUFACTURING,Department of Defense,Department of the Navy,DELIVERY ORDER,1/1/2023,12/31/2029,5/1/2025,CONT_AWD_N0001923F0002_9700_N0001919G0008_9700,12/16/2022,N00019
